"offset","source","target","note"
"0xc35ee","the rising sun welcomes them ","旭日東升，迎接他們",""
"0xc360c","to a new day with arms of ","以萬丈光芒之臂",""
"0xc3627","outstretched rays. ","迎接嶄新的一天。",""
"0xc363b","They have left behind ","他們已拋下",""
"0xc3652","uncertainty and fear, and ","迷惘與恐懼，",""
"0xc366d","soak up the warm sunlight ","沐浴在溫暖陽光",""
"0xc3688","reflected in the waves. ","與波光的輝映中。",""
"0xc36a1","Their hearts are now ","如今他們的心",""
"0xc36b7","unburdened, and every breath ","已卸下重擔，每一息",""
"0xc36d5","they take is filled with ","都充滿著",""
"0xc36ef","hope. Promises of peace on ","希望。人人皆言",""
"0xc370b","every tongue; the war is ","和平將至，戰爭",""
"0xc3725","over. ","結束。","byte 限制極短"
"0xc372c","Friends, your life, your ","朋友們，你們的生命",""
"0xc3746","sacrifice, will not go to ","與犧牲，絕不會",""
"0xc3761","waste. ","白費。",""
"0xc3769","Dear friends, I will ","摯友們，我將",""
"0xc377f","protect your memories, your ","守護你們的記憶、",""
"0xc379c","courage and hope. ","勇氣與希望。",""
"0xc37af","May this be my vow. May ","以此為誓。",""
"0xc37c8","the sun burning bright on ","願地平線上",""
"0xc37e3","the horizon serve as my ","燦爛朝日",""
"0xc37fc","witness. ","作見證。",""
"0xc3806","For those of us who ","這是倖存者",""
"0xc381b","survived, it is the least we ","應盡的微薄",""
"0xc3839","can do.","心意。",""
"0xc3841","A single battleship steers ","一艘戰艦駛過",""
"0xc385d","its way through the ocean ","茫茫大海，",""
"0xc3878","waters. It's helm tears the ","艦首劈開波浪，",""
"0xc3895","waves, leaving a trail of ","留下一道",""
"0xc38b0","white froth to mark its ","白色航跡，",""
"0xc38c9","passage. ","於身後。",""
"0xc38d3","Beyond these rough waters ","越過這片驚濤，",""
"0xc38ee","waits the calm shores of ","便是故鄉",""
"0xc3908","home. Long assaulted by ","平靜的海岸。久受",""
"0xc3921","barked orders and cannon ","號令與炮聲",""
"0xc393b","blasts, their ears bless the ","摧殘的雙耳，",""
"0xc3959","gentle sounds of waves that ","唯有輕撫船身的",""
"0xc3976","caress the hull. ","浪聲可貴。",""
"0xc3988","The morning sun on the far ","遠方地平線的",""
"0xc39a4","horizon, brings the ","朝陽，宣告",""
"0xc39b9","announcement that another ","新的一天",""
"0xc39d4","day has begun. They have ","已然開始。他們",""
"0xc39ee","left behind uncertainty and ","已拋下迷惘與",""
"0xc3a0b","fear, and soak up the warm ","恐懼，沐浴在",""
"0xc3a27","sunlight reflected in the ","波光照耀的",""
"0xc3a42","waves. Their hearts, now ","暖陽之中，",""
"0xc3a5c","unburdened, are filled with ","心中卸下重擔，",""
"0xc3a79","hope and they thank nature ","滿懷希望，感謝",""
"0xc3a95","for every salty breath she ","大海賜予的每一口",""
"0xc3ab1","brings. Promises of peace on ","鹹澀氣息。人人",""
"0xc3acf","every tongue; the war is ","皆言和平，戰爭",""
"0xc3ae9","over. ","結束。","byte 限制極短"
"0xc3af0","Friends, the days we ","朋友們，並肩",""
"0xc3b06","fought together, will always ","作戰的日子，將永遠",""
"0xc3b24","be a part of me. ","與我同在。",""
"0xc3b36","Dear friends, it finally ","摯友們，你們",""
"0xc3b50","came, this peace you so ","殷切祈盼的和平",""
"0xc3b69","prayed for... ","終於來臨……",""
"0xc3b78","The sun now rising as my ","以升起的朝日",""
"0xc3b92","witness, I will preserve it. ","為證，我必守護到底。",""
"0xc3bb0","For those of us who ","這是倖存者",""
"0xc3bc5","survived, it is the least we ","應盡的微薄",""
"0xc3be3","can do. ","心意。",""
"0xc3c4c","Carrier","航母","glossary 航空母艦 超長，縮譯"
"0xc3c54","Light Carrier","輕型航母",""
"0xc3c62","Dreadnought","無畏艦",""
"0xc3c6e","Battleship","戰艦",""
"0xc3c79","Heavy Cruiser","重巡洋艦",""
"0xc3c87","Light Cruiser","輕巡洋艦",""
"0xc3c95","Destroyer","驅逐艦",""
"0xc3cc0","B0%4s Fleet","B0%4s艦隊","保留控制碼 B0"
"0xc3cd0","B1%4s Fleet Commander","B1%4s艦隊司令","保留控制碼 B1"
"0xc3cea","B1%s","B1%s","無文字，保留"
"0xc3cf3","B0Commander %-12s","B0司令%-12s",""
"0xc3d09","B1%s %-12s","B1%s %-12s","無文字，保留"
"0xc3d18","B0Allied Fleet","B0盟軍艦隊",""
"0xc3d2b","B0Pacific Fleet","B0太平洋艦隊",""
"0xc3d48","Japan","日本",""
"0xc3d4e","The U.S.A.","美國",""
"0xc3d5a","END_NAMI.TK2","","檔名不譯"
"0xc3d68","PEND.TK2","","檔名不譯"
"0xc3d72","SSEND.TK2","","檔名不譯"
"0xc3d7c","END3_3D.TK2","","檔名不譯"
"0xc3d88","END4.TK2","","檔名不譯"
"0xc3d92","END_SF.TK2","","檔名不譯"
"0xc3d9e","OP4_BC.TK2","","檔名不譯"
"0xc3daa","Japan","日本",""
"0xc3db0","U.S.A.","美國",""
"0xc3dee","Chief of Naval Staff","海軍軍令部長",""
"0xc3e03","Captain of ""Prince of Wales""","威爾斯親王號艦長",""
"0xc3e20","Tom Phillips","菲利普斯",""
"0xc3e2d","Tomoyuki Yamashita","山下奉文",""
"0xc3e40","A.E. Percival","白思華",""
"0xc3e4e","J.V.Stalin","史達林",""
"0xc3e59","J.V. Stalin","史達林",""
"0xc3e65","F.D. Roosevelt","羅斯福",""
"0xc3e74","W.S. Churchill","邱吉爾",""
"0xc3e83","D. MacArthur","麥克阿瑟",""
"0xc3e90","D. MacArthur","麥克阿瑟",""
"0xc3e9d","Tamon Yamaguchi","山口多聞",""
"0xc3ead","Captain of Hiryu : Kaku Tomeo","飛龍號艦長：加來止男",""
"0xc3ecb","Occupy ","佔領 ","保留尾隨空白"
"0xc3ed3","Defend ","防禦 ","保留尾隨空白"
"0xc3edb","Destroy","殲滅",""
"0xc3ef0","Enemy's goal","敵方目標",""
"0xc3f03","Both","雙方",""
"0xc3f1f","A. Hitler","希特勒",""
"0xc3f29","A. Hitler","希特勒",""
"0xc3f33","Ho Chi Minh","胡志明",""
"0xc3f3f","President M.L. Keson","凱松總統","M.L. Keson 音譯"
"0xc3f54","base","基地",""
"0xc3f59","post","據點",""
"0xc3fbc","peace treaty","和平條約",""
"0xc3fc9","military pact","軍事同盟",""
"0xc3fd7","aid pact","援助協定",""
"0xc3ff0","%s has declared war on %s.","%s對%s宣戰。",""
"0xc400b","military","軍事",""
"0xc402b","M4%s","M4%s","控制碼保留"
"0xc4045","M4%s","M4%s","控制碼保留"
"0xc404a","%s Class %s","%s級%s",""
"0xc408a","Army High Command","陸軍大本營",""
"0xc409c","Chief of Operations","作戰部長",""
"0xc40d2","R%c%s","R%c%s","控制碼保留"
"0xc40e3","M4%s","M4%s","控制碼保留"
"0xc40f2","Army High Command","陸軍大本營",""
"0xc4104","Operations HQ","作戰本部",""
"0xc4119","R%c%s","R%c%s","控制碼保留"
"0xc4120","B1GNP      :%6d","B1GNP      :%6d","GNP 通用，保留排版"
"0xc4131","B1Bases    :%6d (Navy%3d)","B1基地:%6d(海%3d)","配合下行 (陸%3d) 精簡"
"0xc414b","(Army%3d)","(陸%3d)","byte 限制，陸軍簡作陸"
"0xc4156","B1Budget   :%6d","B1預算:%6d",""
"0xc4167","B1Materials:%6d","B1物資:%6d",""
"0xc4189","harbor","港灣",""
"0xc4190","dock","船塢",""
"0xc4195","airfield","機場",""
"0xc41a9","|Staff","|幕僚","保留 |"
"0xc41b0","Operations","作戰",""
"0xc41c2","R%c%s","R%c%s","控制碼保留"
"0xc41df","ver_c_sute_card","","技術字串不譯"
"0xc4200","C0%5d+%5d","C0%5d+%5d","控制碼保留"
"0xc420b","C0 (%2d)%6d","C0 (%2d)%6d","控制碼保留"
"0xc4217","Navy","海軍",""
"0xc421c","Army","陸軍",""
"0xc4221","Domestic","內政",""
"0xc422a","Assign materials.","配屬物資。",""
"0xc4253","T( View which?","T( 看哪項？","T( 疑為控制碼，保留"
"0xc4262"," PROPOSALS  ","  提案  ","置中留白"
"0xc426f"," DECISIONS  ","  決定  ","置中留白"
"0xc427c","   CANCEL   ","   取消   ","置中留白"
"0xc42a4","What will you do?","你要如何行動？",""
"0xc42ba","throw away","捨棄",""
"0xc42c5","Which card will you %s?","要%s哪張卡片？",""
"0xc42dd","Will you skip this topic?","要跳過此議題嗎？",""
"0xc4311","{Whom will you try to persuade?","{要說服誰？","保留 {"
"0xc4332","Plan","企劃",""
"0xc4337","Unify","統一",""
"0xc433d","Direct","指示",""
"0xc4344","Refuse","拒絕",""
"0xc434b","Silent","沉默",""
"0xc4352","Pass","通過",""
"0xc4357","Reverse","反轉",""
"0xc435f","Ignore","無視",""
"0xc4366","Extend","延長",""
"0xc436d","Agree","同意",""
"0xc4373","Plead","懇請",""
"0xc4379","Imperial HQ Conference","大本營會議",""
"0xc4390","National Security Conference","國家安全會議",""
"0xc43b6","Foreign","外交",""
"0xc43be","Op.Goals","作戰目標",""
"0xc43c7","Budget","預算",""
"0xc43ce","Materials","物資",""
"0xc43d8","Draft","徵兵",""
"0xc43de","Armaments","武裝",""
"0xc43e8","Bases","基地",""
"0xc440a","Foreign Affairs","外交事務",""
"0xc441a","Operation Goals","作戰目標",""
"0xc442a","Budget","預算",""
"0xc4431","Materials","物資",""
"0xc443b","Draft","徵兵",""
"0xc4441","Armaments","武裝",""
"0xc444b","Base Upkeep","基地維持",""
"0xc4498","Dcl. War","宣戰",""
"0xc44a1","Req. War","請求參戰",""
"0xc44aa","Mil.Pact","軍事同盟",""
"0xc44b3","Break Mil","撕毀同盟",""
"0xc44c1","Break Aid","撕毀援助",""
"0xc44cb","Peace","和平",""
"0xc44d1","Negotiate","交涉",""
"0xc44db","Declare War","宣戰",""
"0xc44e7","Request War Part.","請求共同參戰",""
"0xc44f9","Military Pact","軍事同盟",""
"0xc4507","Break Mil. Pact","撕毀軍事同盟",""
"0xc4517","Aid Pact","援助協定",""
"0xc4520","Break Aid Pact","撕毀援助協定",""
"0xc452f","Peace Treaty","和平條約",""
"0xc453c","Negotiations","談判",""
"0xc4549","Occupy","佔領",""
