"offset","source","target","note"
"0xc7a03","success","成功",""
"0xc7a0b","failure","失敗",""
"0xc7a39"," %-12s","",""
"0xc7a48","B1 Officer     Nat.","B1 軍官     國籍","B1 控制碼保留；Officer/Nat. 標題列"
"0xc7a63"," %-12s","",""
"0xc7a6a","%2s ","",""
"0xc7a74","B1 Officer     Nat.","B1 軍官     國籍","同上"
"0xc7a88","NAVY","海軍",""
"0xc7a8d","ARMY","陸軍",""
"0xc7a92","ADMIRAL","提督","ADMIRAL 放不下『海軍上將』(8>7)，用提督"
"0xc7a9a","GENERAL","將軍",""
"0xc7ab9","UWhat would you like to do?","U您要執行什麼？","行首 U 為控制碼保留"
"0xc7ad6","DATA","資料",""
"0xc7adb","NAVY","海軍",""
"0xc7ae0","ARMY","陸軍",""
"0xc7ae5","NEW ARMS","新兵器",""
"0xc7b02","1. Occupy the enemy's capital.","1. 佔領敵國首都。",""
"0xc7b21","the U.S.A.","美國",""
"0xc7b2c","Japan","日本",""
"0xc7b32","to force %s to surrender.","迫使%s投降。","%s 保留"
"0xc7b4c","Occupation was successful.","佔領成功。",""
"0xc7b67","Occupation not accomplished.","未能完成佔領。",""
"0xc7b84","Enemy's current GNP is %d.","敵國目前GNP為%d。","GNP 保留英文縮寫"
"0xc7b9f","Your current base yield is %d.","我方基地目前產量為%d。",""
"0xc7bcc","C>H136Occupy","C>H136佔領","C>H136 視為控制碼保留"
"0xc7bd9","Defend","防衛",""
"0xc7be0","Destroy","破壞",""
"0xc7bf3","VVictory Condition","V勝利條件","行首 V 控制碼保留"
"0xc7c06","Current Status","目前狀態",""
"0xc7c1c","Operation Goals","作戰目標",""
"0xc7c2c","Enemy Goals","敵方目標",""
"0xc7c3d","Both","雙方",""
"0xc7c5c","Currently Unknown","目前不明",""
"0xc7c6f","Plains","平原",""
"0xc7c76","Town","城鎮",""
"0xc7c7b","Jungle","叢林",""
"0xc7c82","Mountains","山地",""
"0xc7cb2","%3d %-12s%3s  %-9s ","",""
"0xc7cd0","%d Un","%d 隊","Un=units 縮寫"
"0xc7cd6","%d Un","%d 隊",""
"0xc7cdc","%d Un","%d 隊",""
"0xc7ce2","%d Un","%d 隊",""
"0xc7ce8","%4s %4s","",""
"0xc7cf8"," CANCEL ALL DELEGATIONS"," 取消所有委任","保留一前導空白"
"0xc7d10","%-76s","",""
"0xc7d27","B1%2d ","",""
"0xc7d2f","%-12s ","",""
"0xc7d37","%-12s","",""
"0xc7d3d","%-12s","",""
"0xc7d43","%3d-%3d     ","",""
"0xc7d51","%36s","",""
"0xc7d65","%-7s%2s","",""
"0xc7d6d","%-7s  ","",""
"0xc7d74","There are no %s.","沒有%s。",""
"0xc7d85","fleets","艦隊",""
"0xc7d98","%-76s","",""
"0xc7da9"," %2s %-12s ","",""
"0xc7db5","%-5s","",""
"0xc7dbb","%-12s","",""
"0xc7dc1","%4d/%d%8d%9d","",""
"0xc7dd5","%3d/8  %-6s","",""
"0xc7de1","base A.F.","基地空軍","A.F.=Air Force；『基地航空隊』超長"
"0xc7df6"," %2s %-12s ","",""
"0xc7e02","%-5s","",""
"0xc7e08","%-12s ","",""
"0xc7e0f","%3d/%d%8d%9d","",""
"0xc7e20","None","無",""
"0xc7e25","%5s  %-8s","",""
"0xc7e2f","base A.F.","基地空軍","同上"
"0xc7e39","%-76s","",""
"0xc7e43","Army Div.","陸軍師團","Army Div."
"0xc7e51","B1%4s %-10s","",""
"0xc7e5d","%-6s","",""
"0xc7e63","%-14s","",""
"0xc7e69","%s Fleet","%s艦隊",""
"0xc7e72","%-12s","",""
"0xc7e85"," %4d%4d/1   %-10s","",""
"0xc7e97","unit","部隊",""
"0xc7ea4","B1%3d ","",""
"0xc7eab","%3s  ","",""
"0xc7eb2","%-12s","",""
"0xc7eb8","%s Fleet","%s艦隊",""
"0xc7ec1","%-12s","",""
"0xc7ed4","Infantry","步兵",""
"0xc7ee9","%-12s%4d %3s %-10s","",""
"0xc7efc","army division","陸軍師團","army division"
"0xc7f0a","%-76s","",""
"0xc7f1e","%2d ","",""
"0xc7f23","%-12s ","",""
"0xc7f2a","%-11s","",""
"0xc7f31","%-12s","",""
"0xc7f37","%-12s","",""
"0xc7f3d","%3d-%3d     ","",""
"0xc7f4a","%2d%3d%3d(%3d%%) ","",""
"0xc7f67","%-8s%2s","",""
"0xc7f6f","%-10s","",""
"0xc7f78","submarines","潛艇",""
"0xc7f83","NAVY A.F.","海軍航空","NAVY A.F.；『海軍航空隊』10>9 超長，縮為海軍航空"
"0xc7f8d","ARMY A.F.","陸軍航空","ARMY A.F."
"0xc7f97","MARINES","陸戰隊",""
"0xc7f9f","ARMY DIV.","陸軍師團","ARMY DIV."
"0xc7fa9","SUBMARINE","潛艇",""
"0xc7fc7","[FLEET","[艦隊","[ 為面板括號保留"
"0xc7fce","UNIT","單位",""
"0xc7fd3","BASE","基地",""
"0xc7fd8","POST","駐地","POST 語境不確定，取駐地"
"0xc7fdd","NATION","國家",""
"0xc7fe4","FOREIGN","外交",""
"0xc7fec","GOALS","目標",""
"0xc8018","B1U.S.A. Japan","B1美國   日本","B1 控制碼保留"
"0xc802c","JAPANESE","日本",""
"0xc8035","U.S.","美國",""
"0xc8041","R%c%s NAVY RESERVES","R%c%s海軍預備隊","R 控制碼保留"
"0xc8075","JAPANESE","日本",""
"0xc807e","U.S.","美國",""
"0xc808a","R%c%s ARMY RESERVES","R%c%s陸軍預備隊","R 控制碼保留"
"0xc80bd","Anti-air Radar","對空雷達",""
"0xc80cc","Seaborne Radar","對海雷達",""
"0xc80db","Gunnery Radar","射擊雷達",""
"0xc80e9","VT Fuse","VT信管","VT 保留"
"0xc80f1","Cryptograph","密碼機",""
"0xc8101","Oxygen Torpedo","氧氣魚雷",""
"0xc8110","Incendiary Bomb","燃燒彈",""
"0xc8120","Flame Thrower","火焰放射器",""
"0xc812e","Shipboard Rocket","艦載火箭",""
"0xc813f","Guided Missile","導引飛彈",""
"0xc8152","B1 NEW ARMS","B1 新兵器","B1 控制碼保留"
"0xc8161","Declare War","宣戰",""
"0xc816d","Enter War","參戰",""
"0xc8177","Mil. Pact","軍事同盟","Mil. Pact"
"0xc8181","Aid Pact","援助協定",""
"0xc818a","Betray Pact","背棄盟約",""
"0xc8196","Peace Pact","和平條約",""
"0xc81a1","Negotiations","談判",""
"0xc81c9","]At War","]交戰中","] 為面板括號保留"
"0xc81d1","Alliance","同盟",""
