"offset","source","target","note"
"0xc4550","Defend","防衛",""
"0xc4557","Destroy","摧毀",""
"0xc4560","I!f!P!j!W!Z Navy","I!f!P!j!W!Z 海軍",""
"0xc4571","Army","陸軍",""
"0xc4576","Both","雙方",""
"0xc4583","!v!b!Prime Minister","!v!b!首相",""
"0xc4597","Chief of Naval Staff","海軍軍令部長",""
"0xc45ac","Chief of Staff","參謀總長",""
"0xc45bb","Finance Minister","大藏大臣",""
"0xc45cc","Foreign Minister","外務大臣",""
"0xc45dd","President","總統",""
"0xc45e7","Chief of Naval Op.","海軍作戰部長",""
"0xc45fa","Chief of Staff","參謀總長",""
"0xc4609","Sec. of Treasury","財政部長",""
"0xc461a","Secretary of State","國務卿",""
"0xc462d","Prime Minister","首相",""
"0xc463c","Chf.of Nvl.Stf.","軍令部長",""
"0xc464c","Chief of Staff","參謀總長",""
"0xc465b","Finance Min.","大藏大臣",""
"0xc4668","Foreign Min.","外務大臣",""
"0xc4675","President","總統",""
"0xc467f","Chf.of Nvl.Op.","作戰部長",""
"0xc468e","Chief of Staff","參謀總長",""
"0xc469d","Sec.of Treasury","財政部長",""
"0xc46ad","Sec.of State","國務卿",""
"0xc46f1","B0 %-4s%4d","",""
"0xc475c","read_man","",""
"0xc476c","B0%s","",""
"0xc4778","B7%s","",""
"0xc477e","O,O8O/O5O2O;OGO>ODOA","",""
"0xc47ce","Diet","國會",""
"0xc47d3","Congress","國會",""
"0xc47f2","C4%-9s","",""
"0xc482e","Navy      ","海軍      ",""
"0xc4839","Army      ","陸軍      ",""
"0xc4844","Foreign   ","外交      ",""
"0xc484f","Bases     ","基地      ",""
"0xc485a","Technology","技術      ",""
"0xc4865","Government","政府      ",""
"0xc4875","Navy     ","海軍     ",""
"0xc487f","Army     ","陸軍     ",""
"0xc4889","Domestic ","內政     ",""
"0xc48b8","C0%6d","",""
"0xc48fb","C4%-9s","",""
"0xc4935","No debate.","無人發言",""
"0xc4940","Navy      ","海軍      ",""
"0xc494b","Army      ","陸軍      ",""
"0xc4956","Foreign   ","外交      ",""
"0xc4961","Bases     ","基地      ",""
"0xc496c","Technology","技術      ",""
"0xc4977","Government","政府      ",""
"0xc4986","No debate.","無人發言",""
"0xc4996","Navy     ","海軍     ",""
"0xc49a0","Army     ","陸軍     ",""
"0xc49aa","Domestic ","內政     ",""
"0xc49d4","C0%6d","",""
"0xc49de","No debate.","無人發言",""
"0xc4a36"," INFO "," 情報 ",""
"0xc4a3d"," ENTER "," 確定  ",""
"0xc4a45","Do Nothing","不採取行動",""
"0xc4a6f","%-3s   %-18s -----","",""
"0xc4a82","%-3s   %-18s %2d/%2d","",""
"0xc4a97","Current situation","目前情勢",""
"0xc4aa9","Select a date.","請選擇日期",""
"0xc4ab8","(On or after the %s)","(%s當日或以後)",""
"0xc4aed","C0%2d+%2d","",""
"0xc4af8","C0%5d","",""
"0xc4b03","C0%2d+%-2s%2d","",""
"0xc4b11","Navy","海軍",""
"0xc4b16","Army","陸軍",""
"0xc4b1f","Navy","海軍",""
"0xc4b24","Army","陸軍",""
"0xc4b29","Europe","歐洲",""
"0xc4b34","Station your forces.","請配置部隊",""
"0xc4b4f"," CONFIRM ","  確認  ",""
"0xc4b60","C7%d. %-21s","",""
"0xc4b6c","%d card%s","%d張%s",""
"0xc4c57","C4%4s","",""
"0xc4c64"," SPACE"," 空白",""
"0xc4c6b","BACKSP","倒退",""
"0xc4c72"," ENTER"," 確定",""
"0xc4c79","CANCEL","取消",""
"0xc4c94","B>Select a character.","B>請選擇人物",""
"0xc4cb2","C4%s","",""
"0xc4cc6","get_tantou","",""
"0xc4cd1","put_card","",""
"0xc4cda","card_init","",""
"0xc4ce4","use_haicard","",""
"0xc4cfc","narabekae","",""
"0xc4d14","C1%s","",""
"0xc4d1c","the %s's","%s的",""
"0xc4d28","The %s's","%s的",""
"0xc4d32","no_tasuuketsu","",""
"0xc4d40","No one.","沒有人",""
"0xc4d48","Only one person?","只有一人嗎?",""
"0xc4d59","1, 2 people.","一、二人",""
"0xc4d66","1, 2, 3 people.","一至三人",""
"0xc4d76","1, 2, 3...4 people?","一至四人?",""
"0xc4d9d","(All in favor of %s proposal?","(贊成%s提案者?",""
"0xc4dd1","{%s was set as follows.","{%s設定如下。",""
"0xc4dfd",")Well...",")那麼…",""
"0xc4e06","Diet","國會",""
"0xc4e0b","Congress","國會",""
"0xc4e14","Diet","國會",""
"0xc4e19","Congress","國會",""
"0xc4e35",")Imperial HQ",")大本營",""
"0xc4e42","War Dept.","陸軍省",""
"0xc4e53","M4%-12s","",""
"0xc4e5b","%2d/%2d/%4d","",""
"0xc4e72","government spending","政府預算",""
"0xc4e86","domestic materials","內政物資",""
"0xc4e9a","army draftees","陸軍兵員",""
"0xc4ea8","naval spending","海軍預算",""
"0xc4eb7","army spending","陸軍預算",""
"0xc4ec5","foreign spending","外交預算",""
"0xc4ed6","navy materials","海軍物資",""
"0xc4ee5","army materials","陸軍物資",""
"0xc4ef4","navy draftees","海軍兵員",""
"0xc4f10","how about it?","意下如何?",""
"0xc4f1e","what do you think?","您認為如何?",""
"0xc4f32","please.","拜託了",""
"0xc4f56",", what do you think?",",您認為如何?",""
"0xc4f6c","'s opinion on this matter.","對此案的意見",""
"0xc4f88","I'd like to hear the ","我想聽聽 ",""
"0xc4fa4","(cough-cough)","(咳咳)",""
"0xc4fb2","Wait a minute!","且慢!",""
"0xc4fc2","Just a moment.","請稍候",""
"0xc4fd2","Wait a minute!","且慢!",""
"0xc4fe2","Just a moment.","請稍候",""
"0xc4ff6","Sir, do","閣下,",""
"0xc4ffe","Navy","海軍",""
"0xc5003","Army","陸軍",""
"0xc500a","I agree with the %s.","我贊成%s的意見",""
"0xc5020","You must be joking.","您在開玩笑吧",""
"0xc5034","I'm sorry, but","很抱歉,",""
"0xc5044","It cannot be helped...","實在沒辦法…",""
"0xc505c","Diet","國會",""
"0xc5062","Congress","國會",""
"0xc506c","You're asking me?","您在問我嗎?",""
"0xc507e","I need more time to review.","我需要更多時間審議",""
"0xc509a","Again?","又來?",""
"0xc50a2","Me again?","又是我?",""
"0xc50b4","set_sakusen_an","",""
"0xc50c8","%-12s%-8s%-4s","",""
"0xc50ef","   Base    Mission Force","   基地    任務 部隊",""
"0xc5168"," Mission"," 任務",""
"0xc5171"," OCCUPY"," 佔領",""
"0xc5179"," DESTROY"," 摧毀",""
"0xc5192"," Force"," 部隊",""
"0xc5199"," NAVY"," 海軍",""
"0xc519f"," ARMY"," 陸軍",""
"0xc51a5"," BOTH"," 雙方",""
"0xc51c7","B1 %-12s","",""
"0xc51d7","B1  Name List ","B1  名單  ",""
"0xc51e6","You cannot use this name.","無法使用此名稱",""
"0xc5207","B1 %-12s","",""
"0xc5217","B1Sub. Name List","B1候補名單",""
"0xc522f","B1 Class Name List","B1 艦級名單",""
"0xc5249","B1 Class Name List","B1 艦級名單",""
"0xc525c","How about the Army?","陸軍的意見呢?",""
"0xc5270","My feelings exactly.","正合我意",""
"0xc52a6","This concludes our meeting.","本次會議到此結束",""
"0xc52c2","Thank you for attending.","感謝各位出席",""
"0xc52db","  INFO  ","  情報  ",""
"0xc52e4"," ENTER  ","  確定  ",""
"0xc531a","C0%-4s  %4d","",""
"0xc5327","C%c%2d","",""
"0xc532e","chk_kankei","",""
"0xc5359","C0%5d+%5d","",""
"0xc5364","C0%11d","",""
"0xc536c","C0 (%2d)%6d","",""
"0xc5378","Navy","海軍",""
"0xc537d","Army","陸軍",""
"0xc5382","Foreign","外交",""
"0xc538a","Bases","基地",""
"0xc5390","Technology","技術",""
"0xc539b","Government","政府",""
"0xc53a7","C0(%2d)%6d","",""
"0xc53b2","Spy Tech","諜報技術",""
"0xc53bb","Naval Tech","海軍技術",""
"0xc53c6","Aeronautic","航空",""
"0xc53d1","Weaponry","武器",""
"0xc53da","Industry","產業",""
"0xc53e3","Will you state your ideas?","請陳述您的意見",""
"0xc549c","Army Div.","陸軍師團",""
"0xc54a6","Army Div.","陸軍師團",""
"0xc54b7","0Marines","0陸戰隊",""
