"offset","source","target","note"
"0xc91f9","at the %s.","於%s。",""
"0xc9204","%s fleet","%s艦隊",""
"0xc920d","%s fleet","%s艦隊",""
"0xc9216","Warship","軍艦",""
"0xc921e","Airplane","飛機",""
"0xc9234","%s Transport","%s運輸船",""
"0xc9245","B1%4s Fleet  ","B1%4s 艦隊 ","保留B1控制碼"
"0xc9253","%4s Fleet","%4s 艦隊",""
"0xc926a","Please assign your transports.","請配屬運輸船。",""
"0xc929e","B1%4s Fleet   100   ","B1%4s 艦隊   100  ","保留B1控制碼"
"0xc92b3","%4s Fleet","%4s 艦隊",""
"0xc92f0","Please distribute materials.","請分配物資。",""
"0xc930d"," Organization"," 編制",""
"0xc931b"," FORMATION "," 編隊 ",""
"0xc9327"," SCUTTLE"," 自沉",""
"0xc9330"," FLEET"," 艦隊",""
"0xc9354"," FLEET A.F."," 艦隊航空隊","A.F.=Air Force"
"0xc9360"," BASE A.F."," 基地空軍","A.F.=Air Force"
"0xc9384"," SWITCH "," 切換 ",""
"0xc938d"," MOVE "," 移動 ",""
"0xc9394"," ENTER "," 確定 ",""
"0xc93a8","B1%-16s","","控制碼+純格式符"
"0xc93b0","%-16s","","純格式符"
"0xc93b6","#Pl     Lvl","機數   等級","#Pl=機數 Lvl=等級"
"0xc93e0","Airfield 1","第一機場",""
"0xc93eb","Airfield 2","第二機場",""
"0xc93f6","Airfield 1","第一機場",""
"0xc9401","Airfield 2","第二機場",""
"0xc9417"," %2s %-12s "," %2s %-12s ","純格式符保留原樣"
"0xc9423","%-5s","","純格式符"
"0xc9429","%-12s ","","純格式符"
"0xc9430","%3d/%1d%8d%9d  ","","純格式符"
"0xc9440","None","無",""
"0xc9445","%d/8  %-12s","","純格式符"
"0xc9452","Which ship will you scuttle?","要自沉哪艘軍艦？",""
"0xc948c"," EXECUTE "," 執行 ",""
"0xc9496"," CANCEL "," 取消 ",""
"0xc94b8","   ENTER   ","   確定   ",""
"0xc94d2","Select what you will fix.","請選擇要修理的項目。",""
"0xc94ec","What will you do?","要做什麼？",""
"0xc94fe","Which ship will you fix?","要修理哪艘軍艦？",""
"0xc9532","%-20s","","純格式符"
"0xc9538"," Select one."," 請擇一。",""
"0xc9545"," QUICK"," 快速",""
"0xc954c"," TOTAL"," 全部",""
"0xc9553"," EQUIP"," 裝備",""
"0xc9575","%-12s","","純格式符"
"0xc957b","Repair","修理",""
"0xc9582","Equip ","裝備 ",""
"0xc958d","B1%s","","控制碼+格式符"
"0xc95bf","Mat'l %5d  Budget %5d","物資 %5d  預算 %5d",""
"0xc95d5","There are no available docks.","沒有可用的船塢。",""
"0xc960a","B%c%-16s %2d","","控制碼+格式符"
"0xc961f","%-16s %2d","","純格式符"
"0xc962e","B%c%-16s %2d","","控制碼+格式符"
"0xc9643","%-16s %2d","","純格式符"
"0xc9651","B<Base Materials %5d","B<基地物資 %5d","保留B<控制碼"
"0xc9666","Reserved Trans. %4d","預備運輸船 %4d",""
"0xc967a","Base's Trans.   %4d","基地運輸船   %4d",""
"0xc968e","There are no transports.","沒有運輸船。",""
"0xc96a7"," MATERIALS"," 物資",""
"0xc96b2"," 1ST TRANSPORT"," 第一運輸隊",""
"0xc96c1"," 2ND TRANSPORT"," 第二運輸隊",""
"0xc96d0","What will you supply?","要補給什麼？",""
"0xc96e6"," Supply"," 補給",""
"0xc96ee"," MATERIALS"," 物資",""
"0xc96f9"," AIRCRAFT"," 航空隊",""
"0xc9714","Which will you supply?","要補給哪一項？",""
"0xc9732","%s Army Div.","%s陸軍師團",""
"0xc9754"," Destination"," 目的地",""
"0xc9761","Post","據點",""
"0xc9766","Base","基地",""
"0xc976b"," %-11s %4s (%3s)","","純格式符"
"0xc977c","Where will you move?","要移動到哪裡？",""
"0xc9797","%s Army Div.","%s陸軍師團",""
"0xc97a4","The %s arrived at %s.","%s已抵達%s。",""
"0xc97ba"," Boarding"," 登船中",""
"0xc97c4","1st Trans","第一運輸",""
"0xc97ce","2nd Trans","第二運輸",""
"0xc97e8","%s Fleet","%s艦隊",""
"0xc97f7","%s Army Div.","%s陸軍師團",""
"0xc981f"," Board"," 登船",""
"0xc9826"," %4s Fleet"," %4s 艦隊",""
"0xc9837","%s Army Div.","%s陸軍師團",""
"0xc9844","Finished supplying aircraft.","航空隊補給完成。",""
"0xc9862","Which area will you search?","要搜索哪個海域？",""
"0xc987e","You don't have any scouts.","沒有偵察機。",""
