"offset","source","target","note"
"0xc6e2e","Yield%4d/%2d","產量%4d/%2d","Yield=產量"
"0xc6e45","Navy Matl %s","海軍資材 %s","Matl=資材"
"0xc6e5c","Army Matl %s","陸軍資材 %s",""
"0xc6e69","Truck%2d","卡車%2d",""
"0xc6e72","Trans%2d %s","運輸%2d %s",""
"0xc6e7e","Trans?? Truck??","運輸?? 卡車??",""
"0xc6e8e","Build","建造",""
"0xc6ebb","Harbor   %5s ","港口   %5s ","Harbor=港口"
"0xc6ec9","Build","建造",""
"0xc6ef6","Dock     %-5s ","船塢   %-5s ","Dock=船塢"
"0xc6f05","Build","建造",""
"0xc6f25","Airfld   %5s ","機場   %5s ","Airfld=機場"
"0xc6f42","C7day%1s","C7天%1s","C7 控制碼保留"
"0xc6f4e","ORDER","命令",""
"0xc6f54","ASSIGN","配屬",""
"0xc6f5b","PERSONNEL","人事",""
"0xc6f65","INFO","資訊",""
"0xc6f6a","ARMAMENT","武裝",""
"0xc6f73","OPTION","選項",""
"0xc6f7a","EXECUTE","執行",""
"0xc6faa","C0%s","","C0 控制碼+純格式符，留空"
"0xc6fc0"," GUN RANGE"," 主砲射程",""
"0xc6fcb"," AIR RANGE"," 航空射程",""
"0xc6fd6"," ENTER"," 確定",""
"0xc6fdd"," CANCEL"," 取消",""
"0xc6fe9","B1%s","","B1 控制碼+純格式符，留空"
"0xc6fee","%-12s","","純格式符"
"0xc6ff4","%3d-%3d","","純格式符"
"0xc6ffc","Pos. %9s","位置 %9s",""
"0xc7005","Spd. %3d knots","航速 %3d 節","knots=節"
"0xc7014","Armor%2d Torp%3d","裝甲%2d 魚雷%3d",""
"0xc7025","Mat'l%3d(%3d%%)","資材%3d(%3d%%)",""
"0xc7035","SeaR","索敵","SeaR=Sea Range 索敵"
"0xc703a","/GunR","/砲擊","GunR"
"0xc7040","None","無",""
"0xc7045","Arms %9s","兵力 %9s",""
"0xc704e","None ","無 ","保留尾隨空白"
"0xc7054","%s%2s","","純格式符"
"0xc705a","%s %2s","","純格式符"
"0xc7065","Duty %10s","任務 %10s",""
"0xc7094","Occupy ","佔領 ",""
"0xc709c","Defend ","防衛 ",""
"0xc70a4","Destroy","殲滅","Destroy=殲滅"
"0xc70bf","Both","雙方",""
"0xc70ce","C7%d. %-11s %-7s %s","","C7 控制碼+純格式符，留空"
"0xc70e2","  Fleet  ","  艦隊  ",""
"0xc70ec","   Base  ","   基地  ",""
"0xc70f6","Navy A.F.","海軍航空","A.F.=航空隊；全譯超長故簡化"
"0xc7100"," Marines "," 陸戰隊 ",""
"0xc710a","Army A.F.","陸軍航空","同上簡化"
"0xc7114"," Division"," 師團","Division=師團"
"0xc711e","Submarine","潛艇",""
"0xc7172","%02d","","純格式符"
"0xc7185","%02d","","純格式符"
"0xc7198","%02d","","純格式符"
"0xc71ab","%02d","","純格式符"
"0xc71f2","B1%-10s","","B1 控制碼+純格式符，留空"
"0xc7202","%14s","","純格式符"
"0xc7207","%-12s","","純格式符"
"0xc720d","Aircraft%6d","飛機%6d",""
"0xc7219","Scout%9d","偵察%9d","Scout=偵察機，簡化"
"0xc7222","None","無",""
"0xc7227","Duty %9s","任務 %9s",""
"0xc7230","Pts. %7d/8","點數 %7d/8",""
"0xc723f","Pts. %9s","點數 %9s",""
"0xc7248","Carrier%7d","空母%7d","航空母艦超長，依介面慣例簡作空母"
"0xc7253","%-10s%4d","","純格式符"
"0xc725c","Cruiser%7d","巡洋艦%7d",""
"0xc7267","%-10s%4d","","純格式符"
"0xc7270","Enemy ships%3d","敵艦數%3d",""
"0xc7282","With","附屬","With ... carrier 語境"
"0xc7287","%s carrier.","%s空母。","同上簡作空母"
"0xc7297","B1%4s Fleet","B1%4s 艦隊","B1 保留"
"0xc72a3","(%s Navy)","(%s海軍)",""
"0xc72ad","%-12s","","純格式符"
"0xc72b3","%3d-%3d","","純格式符"
"0xc72bb","Pos. %9s","位置 %9s",""
"0xc72c4","Complete","完成",""
"0xc72cd","Repairing","修理中",""
"0xc72d7","Harbor is full","港口已滿",""
"0xc72e6","%d day%s","%d 天%s",""
"0xc72ef","Spd.%4d knot%s","航速%4d 節%s",""
"0xc72fe","Mat'l%8d%%","資材%8d%%",""
"0xc7309","None","無",""
"0xc730e","%s %2s","","純格式符"
"0xc7318","Duty %9s","任務 %9s",""
"0xc7321","Pts. %6d/%2d","點數 %6d/%2d",""
"0xc733e","Move","移動",""
"0xc7343","Plan","計畫",""
"0xc7348","%s %s Phase","%s %s 階段",""
"0xc7364","Canceled advancing the game.","已取消遊戲進行。",""
"0xc7384"," CONFIRM"," 確認",""
"0xc739c","B0%-45s","","B0 控制碼+純格式符，留空"
"0xc73a8","B0%-39s","","B0 控制碼+純格式符，留空"
"0xc73c0","What will you do?","您要如何行動？",""
"0xc73d2","Which %s will you command?","您要指揮哪支%s？",""
"0xc73ee","Select the orders for the %s.","請選擇%s的命令。",""
"0xc740c","Select your orders.","請選擇命令。",""
"0xc7445","B1%-12s","","B1 控制碼+純格式符，留空"
"0xc7468","%s's home port was occupied!","%s的母港已被佔領！",""
"0xc7485","post","據點",""
"0xc748a","base","基地",""
"0xc748f","post","據點",""
"0xc7494","base","基地",""
"0xc7499","You cannot %s due to the %s.","因%s而無法%s。",""
"0xc74b6","do anything","採取行動",""
"0xc74c2","deploy aircraft","部署航空隊",""
"0xc74f6","Give your orders to the %s.","請對%s下達命令。",""
"0xc7513","%d. %s","","純格式符"
"0xc751a","Imperial HQ","大本營","Imperial HQ"
"0xc7526","War Dept.","陸軍省","War Dept."
"0xc7537","M4%s","","M4 控制碼+純格式符，留空"
"0xc753c","%s Fleet","%s艦隊",""
"0xc7545","%2d/%2d/%4d","","純格式符"
"0xc7551","%s Base","%s基地",""
"0xc755a","R%c%s","","R 控制碼+純格式符，留空"
"0xc7560","the area %d-%d","第%d-%d區域",""
"0xc7570","R%c%s","","R 控制碼+純格式符，留空"
"0xc757a","Canceling orders.","取消命令中。",""
"0xc758c"," DUTY "," 任務 ",""
"0xc7593"," CANCEL "," 取消 ",""
"0xc759c"," ENTER "," 確定 ",""
"0xc75cf","base air force","基地航空隊",""
"0xc7608","%d. %s","","純格式符"
"0xc760f","Imperial HQ","大本營",""
"0xc761b","War Dept.","陸軍省",""
"0xc762c","M4%-12s","","M4 控制碼+純格式符，留空"
"0xc7634","%-12s","","純格式符"
"0xc763a","%2d/%2d/%4d","","純格式符"
"0xc7646","%s Base","%s基地",""
"0xc764f","R%c%s","","R 控制碼+純格式符，留空"
"0xc7656","R%c%s","","R 控制碼+純格式符，留空"
"0xc7661","%d. %6s","","純格式符"
"0xc7669"," Base A.F."," 基地航空","A.F. 簡化"
"0xc7674","Imperial HQ","大本營",""
"0xc7680","War Dept.","陸軍省",""
"0xc7691","M4%s","","M4 控制碼+純格式符，留空"
"0xc7696","%-16s","","純格式符"
"0xc769c","%2d/%2d/%4d","","純格式符"
"0xc76a8","%-30s","","純格式符"
"0xc76ae","%-30s","","純格式符"
"0xc76dd","Q%d.%s","","Q 控制碼+純格式符，留空"
"0xc76e4","Imperial HQ","大本營",""
"0xc76f0","War Dept.","陸軍省",""
"0xc7701","M4%s","","M4 控制碼+純格式符，留空"
"0xc7706","%s %6s","","純格式符"
"0xc770d","%s Army Div.","%s陸軍師團",""
"0xc771a","%-15s","","純格式符"
"0xc7720","%2d/%2d/%4d","","純格式符"
"0xc772d","R%c%s","","R 控制碼+純格式符，留空"
"0xc7737","FLEET","艦隊",""
"0xc773d","SUBMARINE","潛艇",""
"0xc7747","BASE A.F.","基地航空",""
"0xc7751","MARINES","陸戰隊",""
"0xc776e","B:Reserves(%3d)","B:預備(%3d)","Reserves=預備"
"0xc7782","B:Reserves(%3d)","B:預備(%3d)",""
"0xc7792","Please organize your warships.","請編成您的艦隊。","organize warships=編成艦隊"
"0xc77b1","Reserve","預備",""
"0xc77b9","At Home Port","在母港",""
"0xc77c6","%4s Fleet %-12s","%4s 艦隊 %-12s",""
"0xc77dd","%3s  %-16s %3d %3d %3d","","純格式符"
"0xc77f4","planes","飛機",""
"0xc77fb","scouts","偵察機",""
"0xc7802","Select an aircraft.","請選擇飛機。",""
"0xc7817","Will you assign a unit?","要配屬部隊嗎？",""
"0xc782f","There are no reserve %s.","沒有預備的%s。",""
"0xc7848","There are no reserve %s.","沒有預備的%s。",""
"0xc7868","FLEET","艦隊",""
"0xc786e","BASE A.F.","基地航空",""
"0xc7878","MARINES","陸戰隊",""
"0xc7880","ARMS","兵力","ARMS"
"0xc7885","BASE OP.","基地作戰","BASE OP."
"0xc789f","T\SWhat will you do?","T\S您要如何行動？","T\S 控制碼保留"
"0xc78b4","To which %s will you assign?","要配屬至哪支%s？",""
"0xc78d1","Select unit.","選擇部隊。",""
"0xc78de","FLEET","艦隊",""
"0xc78e4","SUBMARINE","潛艇",""
"0xc78ee","BASE A.F.","基地航空",""
"0xc78f8","MARINES","陸戰隊",""
"0xc7918","%s A.F.","%s航空","A.F. 簡化"
"0xc7920","%s Fleet","%s艦隊",""
"0xc7937"," %-12s","","純格式符"
"0xc793e","%-14s","","純格式符"
"0xc7944","%-17s","","純格式符"
"0xc794e","%4d  ","","純格式符"
"0xc795e"," %-12s","","純格式符"
"0xc7965","%-14s","","純格式符"
"0xc796b","%s A.F.","%s航空",""
"0xc7973","%s Army Div.","%s陸軍師團",""
"0xc7981","%-16s","","純格式符"
"0xc7987","%3d ","","純格式符"
"0xc798c","%3d  ","","純格式符"
"0xc799a","Poor","貧乏",""
"0xc799f","Avg.","普通",""
"0xc79a4","Rich","豐富",""
"0xc79c2","B1 %-17s","","B1 控制碼+純格式符，留空"
"0xc79cb","%3s(%4s) ","","純格式符"
"0xc79d5","%2d/%2d  %4s %4s","","純格式符"
