"offset","source","target","note"
"0xc1a19","within bombing range.","進入轟炸範圍。",""
"0xc1c00","End of Pacific Theater of Operations II","太平洋戰爭II 結束","End of P.T.O. II"
"0xc1c28","Please use display driver for 256 colors.","請使用256色顯示驅動程式。",""
"0xc1c52","This game needs display size 640x480 or more ability.","本遊戲需要640x480以上之顯示解析度。",""
"0xc2410","%s Cl.","%s級","Cl.=Class 縮寫"
"0xc241d","%s %s Class","%s %s級",""
"0xc243a","starboard","右舷",""
"0xc2444","port side","左舷",""
"0xc244e","stern","艦尾",""
"0xc2464","Minimal","極輕","損害程度"
"0xc246c","Slight","輕微",""
"0xc2473","Serious","嚴重",""
"0xc24ba","%4s %-7s","","純格式符字串,不譯"
"0xc24c3","%4s Army Div.","%4s 陸軍師團","Army Div.=陸軍師團"
"0xc24d2","Navy Storage","海軍倉庫",""
"0xc24df","Army Storage","陸軍倉庫",""
"0xc24ec","Factory","工廠",""
"0xc24f4","Airfield","機場",""
"0xc250e","Navy Storage","海軍倉庫",""
"0xc251b","Army Storage","陸軍倉庫",""
"0xc2528","Factory","工廠",""
"0xc2530","Airfield","機場",""
"0xc2572","Enter a direction to attack.","請選擇攻擊方向。",""
"0xc258f","You cannot drop torpedoes.","無法投下魚雷。",""
"0xc25aa","Select a warship.","請選擇軍艦。",""
"0xc25bc","Select a target to attack.","請選擇攻擊目標。",""
"0xc25e2","%d plane%s","%d架%s","plane%s"
"0xc25ee","commence attack!","開始攻擊！",""
"0xc2608","to attack!","攻擊！",""
"0xc2614","approaching!","接近中！",""
"0xc2624"," CONFIRM "," 確認 ","保留前後空白"
"0xc2639","The air strike failed.","空襲失敗了。",""
"0xc2656","%s AF","","AF 縮寫,5 bytes 放不下「機場」,留空"
"0xc265c","%s AF","","同上"
"0xc2662","%s Post","%s哨站","Post"
"0xc266a","%s Base","%s基地",""
"0xc2675","%s Submarine","%s潛艇",""
"0xc2682","%s AF","","AF 縮寫,長度不足,留空"
"0xc2688","%s %s Base AF","%s %s基地機場","Base AF,恰好等長"
"0xc2696","%s %s Post","%s %s哨站",""
"0xc26a1","%s %s Base","%s %s基地",""
"0xc26ac","%s Fleet","%s艦隊",""
"0xc26b8","%s Fleet AF","%s艦隊機場","Fleet AF"
"0xc26c4","%s AF","","AF 縮寫,長度不足,留空"
"0xc26ca","%s Post","%s哨站",""
"0xc26d2","%s Base","%s基地",""
"0xc2715","The %s","%s","中文無需定冠詞 The"
