"file","id","source","target","note"
"KSDATA","KSDATA:0261","Java","","艦船名（詳表）"
"KSDATA","KSDATA:0262","De Ruyter","","艦船名（詳表）"
"KSDATA","KSDATA:0263","Tromp","","艦船名（詳表）"
"KSDATA","KSDATA:0264","Scharnhorst","","艦船名（詳表）"
"KSDATA","KSDATA:0265","Tirpitz","","艦船名（詳表）"
"KSDATA","KSDATA:0266","Prinz Eugen","","艦船名（詳表）"
"KSDATA","KSDATA:0267","$ +2","","艦船名（詳表）"
"KSDATA","KSDATA:0268","Kirov","","艦船名（詳表）"
"KSDATA","KSDATA:0269","#EN","","艦船名（詳表）"
"KSDATA","KSDATA:0270","#EM","","艦船名（詳表）"
"KSDATA","KSDATA:0271","""WD","","艦船名（詳表）"
"KSDATA","KSDATA:0272","""WC","","艦船名（詳表）"
"KSDATA","KSDATA:0273","!#3","","艦船名（詳表）"
"KSDATA","KSDATA:0274","!&=","","艦船名（詳表）"
"KSDATA","KSDATA:0275","!-7","","艦船名（詳表）"
"KSDATA","KSDATA:0276","0""!=","","艦船名（詳表）"
"KSDATA","KSDATA:0277","0""%B","","艦船名（詳表）"
"KSDATA","KSDATA:0278","0""!3","","艦船名（詳表）"
"KSDATA","KSDATA:0279","0""'B","","艦船名（詳表）"
"KSDATA","KSDATA:0280","""!>","","艦船名（詳表）"
"KSDATA","KSDATA:0281","""""3","","艦船名（詳表）"
"KSDATA","KSDATA:0282","""#@","","艦船名（詳表）"
"KSDATA","KSDATA:0283","$#!5","","艦船名（詳表）"
"KSDATA","KSDATA:0284","$#+<","","艦船名（詳表）"
"KSDATA","KSDATA:0285","$#$B","","艦船名（詳表）"
"KSDATA","KSDATA:0286","$#(=","","艦船名（詳表）"
"KSDATA","KSDATA:0287","$#H@","","艦船名（詳表）"
"KSDATA","KSDATA:0288","$#H4","","艦船名（詳表）"
"KSDATA","KSDATA:0289","$#>","","艦船名（詳表）"
"KSDATA","KSDATA:0290","#""<","","艦船名（詳表）"
"KSDATA","KSDATA:0291","#-9","","艦船名（詳表）"
"KSDATA","KSDATA:0292","#-=","","艦船名（詳表）"
"KSDATA","KSDATA:0293","#""C","","艦船名（詳表）"
"KSDATA","KSDATA:0294","#-2","","艦船名（詳表）"
"KSDATA","KSDATA:0295","#-D","","艦船名（詳表）"
"KSDATA","KSDATA:0296","#-A","","艦船名（詳表）"
"KSDATA","KSDATA:0297","#-@","","艦船名（詳表）"
"KSDATA","KSDATA:0298","!&;","","艦船名（詳表）"
