"offset","source","note"
"0xc7a03","success",""
"0xc7a0b","failure",""
"0xc7a39"," %-12s",""
"0xc7a48","B1 Officer     Nat.",""
"0xc7a63"," %-12s",""
"0xc7a6a","%2s ",""
"0xc7a74","B1 Officer     Nat.",""
"0xc7a88","NAVY",""
"0xc7a8d","ARMY",""
"0xc7a92","ADMIRAL",""
"0xc7a9a","GENERAL",""
"0xc7ab9","UWhat would you like to do?",""
"0xc7ad6","DATA",""
"0xc7adb","NAVY",""
"0xc7ae0","ARMY",""
"0xc7ae5","NEW ARMS",""
"0xc7b02","1. Occupy the enemy's capital.",""
"0xc7b21","the U.S.A.",""
"0xc7b2c","Japan",""
"0xc7b32","to force %s to surrender.",""
"0xc7b4c","Occupation was successful.",""
"0xc7b67","Occupation not accomplished.",""
"0xc7b84","Enemy's current GNP is %d.",""
"0xc7b9f","Your current base yield is %d.",""
"0xc7bcc","C>H136Occupy",""
"0xc7bd9","Defend",""
"0xc7be0","Destroy",""
"0xc7bf3","VVictory Condition",""
"0xc7c06","Current Status",""
"0xc7c1c","Operation Goals",""
"0xc7c2c","Enemy Goals",""
"0xc7c3d","Both",""
"0xc7c5c","Currently Unknown",""
"0xc7c6f","Plains",""
"0xc7c76","Town",""
"0xc7c7b","Jungle",""
"0xc7c82","Mountains",""
"0xc7cb2","%3d %-12s%3s  %-9s ",""
"0xc7cd0","%d Un",""
"0xc7cd6","%d Un",""
"0xc7cdc","%d Un",""
"0xc7ce2","%d Un",""
"0xc7ce8","%4s %4s",""
"0xc7cf8"," CANCEL ALL DELEGATIONS",""
"0xc7d10","%-76s",""
"0xc7d27","B1%2d ",""
"0xc7d2f","%-12s ",""
"0xc7d37","%-12s",""
"0xc7d3d","%-12s",""
"0xc7d43","%3d-%3d     ",""
"0xc7d51","%36s",""
"0xc7d65","%-7s%2s",""
"0xc7d6d","%-7s  ",""
"0xc7d74","There are no %s.",""
"0xc7d85","fleets",""
"0xc7d98","%-76s",""
"0xc7da9"," %2s %-12s ",""
"0xc7db5","%-5s",""
"0xc7dbb","%-12s",""
"0xc7dc1","%4d/%d%8d%9d",""
"0xc7dd5","%3d/8  %-6s",""
"0xc7de1","base A.F.",""
"0xc7df6"," %2s %-12s ",""
"0xc7e02","%-5s",""
