"offset","source","note"
"0xc85de","B1%3d ",""
"0xc85e5"," %2d mo",""
"0xc85ed","warships in production",""
"0xc8612","%3d ",""
"0xc8617","sunken warship",""
"0xc862a","B1 %2d ",""
"0xc8632","%-13s",""
"0xc8638","%-12s",""
"0xc863e","%d%6d%4d%5d",""
"0xc864a","%4d mo",""
"0xc8651","submarines in production",""
"0xc866a","WARSHIP",""
"0xc8672","SUBMARINE",""
"0xc8686","IN SERVICE",""
"0xc8691","BUILDING",""
"0xc869a","SUNK",""
"0xc869f","WARSHIP",""
"0xc86a7","AIRCRAFT",""
"0xc86b0","TANK",""
"0xc86b5","SUBMARINE",""
"0xc86ef","Saving...",""
"0xc8713","C%cOFF",""
"0xc8730","C%cOFF",""
"0xc8748"," ENTER",""
"0xc874f","END GAME",""
"0xc8758","START OVER",""
"0xc876b","bDo you really want to quit?",""
"0xc8788","Return to the beginning?",""
"0xc87db","C7%-18s",""
"0xc87eb","C2JAPAN",""
"0xc87f4","C1USA",""
"0xc87fa"," ENTER ",""
"0xc8802","SAVE",""
"0xc8807","QUIT",""
"0xc880c","SET-UP",""
"0xc8813","DIFFICULTY",""
"0xc8820","  debug    ",""
"0xc8841","dFd dfcCanceling delegated orders.",""
"0xc8864"," Select a fleet",""
"0xc8889","%4s Fleet",""
"0xc8893"," Command",""
"0xc889c"," SAIL",""
"0xc88a2"," DRILL",""
"0xc88a9"," ORGANIZE",""
"0xc88b3"," ESCORT",""
"0xc88bb"," RE-ARM",""
"0xc88c3"," ORDER",""
"0xc88ca"," INFO",""
"0xc88d0"," Command",""
"0xc88d9"," FIX",""
"0xc88de"," ORGANIZE",""
"0xc88e8"," SUPPLY",""
"0xc88f0"," DEBARK",""
"0xc88f8"," DEPART",""
"0xc8900"," ORDER",""
"0xc8907"," INFO",""
"0xc890f"," Command",""
"0xc8918"," DRILL",""
"0xc891f"," BOMB",""
"0xc8925"," ORGANIZE",""
"0xc892f"," ASSIGN",""
"0xc8937"," ESCORT",""
"0xc893f"," RE-ARM",""
"0xc8947"," ORDER",""
"0xc894e"," INFO",""
"0xc8956"," Division",""
"0xc8960","Ve.f",""
"0xc8978","%4s Marines",""
"0xc8984","%4s Army Div.",""
"0xc8992","%4s %s",""
"0xc8999","%4s Army Div.",""
"0xc89ab","C7%-14s",""
"0xc89bb","%14s",""
"0xc89c0","%-12s",""
"0xc89c6","Force%9d",""
"0xc89e1","None",""
"0xc89e6","Duty %9s",""
"0xc89ef","Pts. %7d/1",""
"0xc89fe","Pts. %9s",""
"0xc8a07"," Command",""
"0xc8a10"," MOVE",""
"0xc8a16"," ASSIGN",""
"0xc8a1e"," BOARD",""
"0xc8a25"," ORDER",""
"0xc8a44"," Command",""
"0xc8a4d"," ORDER",""
"0xc8a54"," CANCEL",""
"0xc8a6e"," FLEET",""
"0xc8a75"," AIR FORCE",""
"0xc8a80"," LAND FORCE",""
"0xc8a8c"," SUBMARINE",""
"0xc8a97"," Select Unit",""
"0xc8ac6","%-10s",""
"0xc8ad1","%14s",""
"0xc8ad6","%-10s",""
"0xc8adc"," Select a unit",""
"0xc8b04","%4s Marines",""
"0xc8b10","%4s Army Div.",""
"0xc8b4f","the game?",""
"0xc8b59","Until what day of the month?",""
"0xc8b92","You cannot pass through land.",""
"0xc8bb0","You may not stop at that base.",""
"0xc8bcf","Will you stop at %s Base?",""
"0xc8be9","There is no available harbor.",""
"0xc8c07","  CONFIRM ",""
"0xc8c12","You cannot wage an air attack.",""
"0xc8c31","Please enter the course.",""
"0xc8c5b","Is this course OK?",""
"0xc8c6e","leave port",""
"0xc8c79","set sail",""
"0xc8c82","dock at port",""
"0xc8cb1","%-12s",""
"0xc8cbb","B5%d",""
"0xc8ccd","B=%2d",""
"0xc8d0d","%-12s",""
"0xc8d25","C%d%2d",""
"0xc8d4a","%-12s",""
"0xc8d55","B5%d",""
"0xc8d5b","C%c%d",""
"0xc8d62","C%c%d",""
"0xc8d69","C%c%d",""
"0xc8d70","C0%d",""
"0xc8d89","C0/%2d",""
"0xc8d98","C0/%2d",""
"0xc8da7","C0/%2d",""
"0xc8db5","%3d%%",""
"0xc8dc1","Spd %2d",""
"0xc8dc9","%4s Fleet",""
"0xc8dde","B<%-10s",""
"0xc8de6","None",""
"0xc8deb","Materials",""
"0xc8df5","%s Army Div.",""
"0xc8e08","Commander",""
"0xc8e12","%-12s ",""
"0xc8e19","%-14s",""
"0xc8e1f","Duty",""
"0xc8e2f","None",""
"0xc8e34","%-12s",""
"0xc8e3a","Target: ",""
"0xc8e43","%-12s",""
"0xc8e4f","Area",""
"0xc8e5a","%-12s",""
"0xc8e60","Transport",""
"0xc8e71","1st: ",""
"0xc8e77","2nd: ",""
"0xc8e7d","Form.",""
"0xc8ea6","Not armed with weapons.",""
"0xc8ebe","ENTER",""
"0xc8ec8","B<%-12s",""
"0xc8ed0","%s Class",""
"0xc8ed9","%-8s %-14s",""
"0xc8ee8","B5%d",""
"0xc8efa","B=%2d/%2d",""
"0xc8f04","%2d/%2d",""
"0xc8f0c","%2d/%2d",""
"0xc8f14","%2d/%2d",""
"0xc8f1c","%2d/%2d",""
"0xc8f24","%2d/99",""
"0xc8f32","B<%-16s",""
"0xc8f3e","B=%2d",""
"0xc8f57","%-16s %2d",""
"0xc8f61","%19d",""
"0xc8f66"," EXECUTE ",""
"0xc8f70"," CANCEL ",""
"0xc8f92"," ENTER ",""
"0xc8f9a","There are no air forces.",""
"0xc8fb8","B5%-16s",""
"0xc8fc4","B=%2d",""
"0xc8fd5","%-16s %2d",""
"0xc8fdf","%19d",""
"0xc8feb","Airfield 1",""
"0xc8ff6","Airfield 2",""
"0xc9016","C%d%2d",""
"0xc901d"," A.F.",""
