"offset","source","note"
"0xc6207","     NEW GAME",""
"0xc6215","    LOAD GAME",""
"0xc6223"," LISTEN TO MUSIC",""
"0xc624a","CANCEL",""
"0xc62ae","The Day of Infamy   ",""
"0xc62c3","The Brink of War    ",""
"0xc62d8","Counter Offensive   ",""
"0xc62ed","Approaching V-Day   ",""
"0xc6302","Southern Operation  ",""
"0xc6317","Battle of Midway    ",""
"0xc632c","U.S.-Australia Plan ",""
"0xc6341","Operation A-GO      ",""
"0xc6356","Battle at Leyte     ",""
"0xc636b","The Final Days      ",""
"0xc6381","C0%d.%s %s",""
"0xc638d","C%c%d.%s %s",""
"0xc639d"," Which will you play?",""
"0xc63b3","       U.S.A.       ",""
"0xc63c8","       JAPAN        ",""
"0xc63dd","     BOTH SIDES     ",""
"0xc63f2","      DEMO GAME     ",""
"0xc6420"," View which?",""
"0xc642d","       U.S.A.       ",""
"0xc6442","       JAPAN        ",""
"0xc6478","There is no saved data.",""
"0xc6490","Not saved data.",""
"0xc64ad","Loading...",""
"0xc6519","  START",""
"0xc6521"," CANCEL",""
"0xc653a","!AZ@",""
"0xc6542","SCE0.AVI",""
"0xc654b","SCE1.AVI",""
"0xc6554","SCE2.AVI",""
"0xc655d","SCE3.AVI",""
"0xc6566","SCE4.AVI",""
"0xc656f","SCE5.AVI",""
"0xc6578","SCE6.AVI",""
"0xc6581","SCE7.AVI",""
"0xc658a","SCE8.AVI",""
"0xc6593","SCE9.AVI",""
"0xc65aa","Making Save Data File...",""
"0xc65d2",".KOB",""
"0xc65d7","TMP.MID",""
"0xc65df",".KOS",""
"0xc65e4","TMP.WAV",""
"0xc65ec","File write error.",""
"0xc65fe",".KOB",""
"0xc6603","TMP.MID",""
"0xc660b",".KOS",""
"0xc6610","TMP.WAV",""
"0xc661e","cdaudio",""
"0xc662e","waveaudio",""
"0xc6638","WTEK2001.KOS",""
"0xc6645","WTEK2002.KOS",""
"0xc6652","WTEK2003.KOS",""
"0xc665f","WTEK2004.KOS",""
"0xc666c","WTEK2005.KOS",""
"0xc6679","WTEK2006.KOS",""
