"offset","source","note"
"0xc6e2e","Yield%4d/%2d",""
"0xc6e45","Navy Matl %s",""
"0xc6e5c","Army Matl %s",""
"0xc6e69","Truck%2d",""
"0xc6e72","Trans%2d %s",""
"0xc6e7e","Trans?? Truck??",""
"0xc6e8e","Build",""
"0xc6ebb","Harbor   %5s ",""
"0xc6ec9","Build",""
"0xc6ef6","Dock     %-5s ",""
"0xc6f05","Build",""
"0xc6f25","Airfld   %5s ",""
"0xc6f42","C7day%1s",""
"0xc6f4e","ORDER",""
"0xc6f54","ASSIGN",""
"0xc6f5b","PERSONNEL",""
"0xc6f65","INFO",""
"0xc6f6a","ARMAMENT",""
"0xc6f73","OPTION",""
"0xc6f7a","EXECUTE",""
"0xc6faa","C0%s",""
"0xc6fc0"," GUN RANGE",""
"0xc6fcb"," AIR RANGE",""
"0xc6fd6"," ENTER",""
"0xc6fdd"," CANCEL",""
"0xc6fe9","B1%s",""
"0xc6fee","%-12s",""
"0xc6ff4","%3d-%3d",""
"0xc6ffc","Pos. %9s",""
"0xc7005","Spd. %3d knots",""
"0xc7014","Armor%2d Torp%3d",""
"0xc7025","Mat'l%3d(%3d%%)",""
"0xc7035","SeaR",""
"0xc703a","/GunR",""
"0xc7040","None",""
"0xc7045","Arms %9s",""
"0xc704e","None ",""
"0xc7054","%s%2s",""
"0xc705a","%s %2s",""
"0xc7065","Duty %10s",""
"0xc7094","Occupy ",""
"0xc709c","Defend ",""
"0xc70a4","Destroy",""
"0xc70bf","Both",""
"0xc70ce","C7%d. %-11s %-7s %s",""
"0xc70e2","  Fleet  ",""
"0xc70ec","   Base  ",""
"0xc70f6","Navy A.F.",""
"0xc7100"," Marines ",""
"0xc710a","Army A.F.",""
"0xc7114"," Division",""
"0xc711e","Submarine",""
"0xc7172","%02d",""
"0xc7185","%02d",""
"0xc7198","%02d",""
"0xc71ab","%02d",""
"0xc71f2","B1%-10s",""
"0xc7202","%14s",""
"0xc7207","%-12s",""
"0xc720d","Aircraft%6d",""
"0xc7219","Scout%9d",""
"0xc7222","None",""
"0xc7227","Duty %9s",""
"0xc7230","Pts. %7d/8",""
"0xc723f","Pts. %9s",""
"0xc7248","Carrier%7d",""
"0xc7253","%-10s%4d",""
"0xc725c","Cruiser%7d",""
"0xc7267","%-10s%4d",""
"0xc7270","Enemy ships%3d",""
"0xc7282","With",""
"0xc7287","%s carrier.",""
"0xc7297","B1%4s Fleet",""
"0xc72a3","(%s Navy)",""
"0xc72ad","%-12s",""
"0xc72b3","%3d-%3d",""
"0xc72bb","Pos. %9s",""
"0xc72c4","Complete",""
"0xc72cd","Repairing",""
"0xc72d7","Harbor is full",""
"0xc72e6","%d day%s",""
"0xc72ef","Spd.%4d knot%s",""
"0xc72fe","Mat'l%8d%%",""
"0xc7309","None",""
"0xc730e","%s %2s",""
"0xc7318","Duty %9s",""
"0xc7321","Pts. %6d/%2d",""
"0xc733e","Move",""
"0xc7343","Plan",""
"0xc7348","%s %s Phase",""
"0xc7364","Canceled advancing the game.",""
"0xc7384"," CONFIRM",""
"0xc739c","B0%-45s",""
"0xc73a8","B0%-39s",""
"0xc73c0","What will you do?",""
"0xc73d2","Which %s will you command?",""
"0xc73ee","Select the orders for the %s.",""
"0xc740c","Select your orders.",""
"0xc7445","B1%-12s",""
"0xc7468","%s's home port was occupied!",""
"0xc7485","post",""
"0xc748a","base",""
"0xc748f","post",""
"0xc7494","base",""
