"offset","source","note"
"0xc35ee","the rising sun welcomes them ",""
"0xc360c","to a new day with arms of ",""
"0xc3627","outstretched rays. ",""
"0xc363b","They have left behind ",""
"0xc3652","uncertainty and fear, and ",""
"0xc366d","soak up the warm sunlight ",""
"0xc3688","reflected in the waves. ",""
"0xc36a1","Their hearts are now ",""
"0xc36b7","unburdened, and every breath ",""
"0xc36d5","they take is filled with ",""
"0xc36ef","hope. Promises of peace on ",""
"0xc370b","every tongue; the war is ",""
"0xc3725","over. ",""
"0xc372c","Friends, your life, your ",""
"0xc3746","sacrifice, will not go to ",""
"0xc3761","waste. ",""
"0xc3769","Dear friends, I will ",""
"0xc377f","protect your memories, your ",""
"0xc379c","courage and hope. ",""
"0xc37af","May this be my vow. May ",""
"0xc37c8","the sun burning bright on ",""
"0xc37e3","the horizon serve as my ",""
"0xc37fc","witness. ",""
"0xc3806","For those of us who ",""
"0xc381b","survived, it is the least we ",""
"0xc3839","can do.",""
"0xc3841","A single battleship steers ",""
"0xc385d","its way through the ocean ",""
"0xc3878","waters. It's helm tears the ",""
"0xc3895","waves, leaving a trail of ",""
"0xc38b0","white froth to mark its ",""
"0xc38c9","passage. ",""
"0xc38d3","Beyond these rough waters ",""
"0xc38ee","waits the calm shores of ",""
"0xc3908","home. Long assaulted by ",""
"0xc3921","barked orders and cannon ",""
"0xc393b","blasts, their ears bless the ",""
"0xc3959","gentle sounds of waves that ",""
"0xc3976","caress the hull. ",""
"0xc3988","The morning sun on the far ",""
"0xc39a4","horizon, brings the ",""
"0xc39b9","announcement that another ",""
"0xc39d4","day has begun. They have ",""
"0xc39ee","left behind uncertainty and ",""
"0xc3a0b","fear, and soak up the warm ",""
"0xc3a27","sunlight reflected in the ",""
"0xc3a42","waves. Their hearts, now ",""
"0xc3a5c","unburdened, are filled with ",""
"0xc3a79","hope and they thank nature ",""
"0xc3a95","for every salty breath she ",""
"0xc3ab1","brings. Promises of peace on ",""
"0xc3acf","every tongue; the war is ",""
"0xc3ae9","over. ",""
"0xc3af0","Friends, the days we ",""
"0xc3b06","fought together, will always ",""
"0xc3b24","be a part of me. ",""
"0xc3b36","Dear friends, it finally ",""
"0xc3b50","came, this peace you so ",""
"0xc3b69","prayed for... ",""
"0xc3b78","The sun now rising as my ",""
"0xc3b92","witness, I will preserve it. ",""
"0xc3bb0","For those of us who ",""
"0xc3bc5","survived, it is the least we ",""
"0xc3be3","can do. ",""
"0xc3c4c","Carrier",""
"0xc3c54","Light Carrier",""
"0xc3c62","Dreadnought",""
"0xc3c6e","Battleship",""
"0xc3c79","Heavy Cruiser",""
"0xc3c87","Light Cruiser",""
"0xc3c95","Destroyer",""
"0xc3cc0","B0%4s Fleet",""
"0xc3cd0","B1%4s Fleet Commander",""
"0xc3cea","B1%s",""
"0xc3cf3","B0Commander %-12s",""
"0xc3d09","B1%s %-12s",""
"0xc3d18","B0Allied Fleet",""
"0xc3d2b","B0Pacific Fleet",""
"0xc3d48","Japan",""
"0xc3d4e","The U.S.A.",""
"0xc3d5a","END_NAMI.TK2",""
"0xc3d68","PEND.TK2",""
"0xc3d72","SSEND.TK2",""
"0xc3d7c","END3_3D.TK2",""
"0xc3d88","END4.TK2",""
"0xc3d92","END_SF.TK2",""
"0xc3d9e","OP4_BC.TK2",""
"0xc3daa","Japan",""
"0xc3db0","U.S.A.",""
"0xc3dee","Chief of Naval Staff",""
"0xc3e03","Captain of ""Prince of Wales""",""
"0xc3e20","Tom Phillips",""
"0xc3e2d","Tomoyuki Yamashita",""
"0xc3e40","A.E. Percival",""
"0xc3e4e","J.V.Stalin",""
"0xc3e59","J.V. Stalin",""
"0xc3e65","F.D. Roosevelt",""
"0xc3e74","W.S. Churchill",""
"0xc3e83","D. MacArthur",""
"0xc3e90","D. MacArthur",""
"0xc3e9d","Tamon Yamaguchi",""
"0xc3ead","Captain of Hiryu : Kaku Tomeo",""
"0xc3ecb","Occupy ",""
"0xc3ed3","Defend ",""
"0xc3edb","Destroy",""
"0xc3ef0","Enemy's goal",""
"0xc3f03","Both",""
"0xc3f1f","A. Hitler",""
"0xc3f29","A. Hitler",""
"0xc3f33","Ho Chi Minh",""
"0xc3f3f","President M.L. Keson",""
"0xc3f54","base",""
"0xc3f59","post",""
"0xc3fbc","peace treaty",""
"0xc3fc9","military pact",""
"0xc3fd7","aid pact",""
"0xc3ff0","%s has declared war on %s.",""
"0xc400b","military",""
"0xc402b","M4%s",""
"0xc4045","M4%s",""
"0xc404a","%s Class %s",""
"0xc408a","Army High Command",""
"0xc409c","Chief of Operations",""
"0xc40d2","R%c%s",""
"0xc40e3","M4%s",""
"0xc40f2","Army High Command",""
"0xc4104","Operations HQ",""
"0xc4119","R%c%s",""
"0xc4120","B1GNP      :%6d",""
"0xc4131","B1Bases    :%6d (Navy%3d)",""
"0xc414b","(Army%3d)",""
"0xc4156","B1Budget   :%6d",""
"0xc4167","B1Materials:%6d",""
"0xc4189","harbor",""
"0xc4190","dock",""
"0xc4195","airfield",""
"0xc41a9","|Staff",""
"0xc41b0","Operations",""
"0xc41c2","R%c%s",""
"0xc41df","ver_c_sute_card",""
"0xc4200","C0%5d+%5d",""
"0xc420b","C0 (%2d)%6d",""
"0xc4217","Navy",""
"0xc421c","Army",""
"0xc4221","Domestic",""
"0xc422a","Assign materials.",""
"0xc4253","T( View which?",""
"0xc4262"," PROPOSALS  ",""
"0xc426f"," DECISIONS  ",""
"0xc427c","   CANCEL   ",""
"0xc42a4","What will you do?",""
"0xc42ba","throw away",""
"0xc42c5","Which card will you %s?",""
"0xc42dd","Will you skip this topic?",""
"0xc4311","{Whom will you try to persuade?",""
"0xc4332","Plan",""
"0xc4337","Unify",""
"0xc433d","Direct",""
"0xc4344","Refuse",""
"0xc434b","Silent",""
"0xc4352","Pass",""
"0xc4357","Reverse",""
"0xc435f","Ignore",""
"0xc4366","Extend",""
"0xc436d","Agree",""
"0xc4373","Plead",""
"0xc4379","Imperial HQ Conference",""
"0xc4390","National Security Conference",""
"0xc43b6","Foreign",""
"0xc43be","Op.Goals",""
"0xc43c7","Budget",""
"0xc43ce","Materials",""
"0xc43d8","Draft",""
"0xc43de","Armaments",""
"0xc43e8","Bases",""
"0xc440a","Foreign Affairs",""
"0xc441a","Operation Goals",""
"0xc442a","Budget",""
"0xc4431","Materials",""
"0xc443b","Draft",""
"0xc4441","Armaments",""
"0xc444b","Base Upkeep",""
"0xc4498","Dcl. War",""
"0xc44a1","Req. War",""
"0xc44aa","Mil.Pact",""
"0xc44b3","Break Mil",""
"0xc44c1","Break Aid",""
"0xc44cb","Peace",""
"0xc44d1","Negotiate",""
"0xc44db","Declare War",""
"0xc44e7","Request War Part.",""
"0xc44f9","Military Pact",""
"0xc4507","Break Mil. Pact",""
"0xc4517","Aid Pact",""
"0xc4520","Break Aid Pact",""
"0xc452f","Peace Treaty",""
"0xc453c","Negotiations",""
"0xc4549","Occupy",""
