"offset","source","note"
"0xc4550","Defend",""
"0xc4557","Destroy",""
"0xc4560","I!f!P!j!W!Z Navy",""
"0xc4571","Army",""
"0xc4576","Both",""
"0xc4583","!v!b!Prime Minister",""
"0xc4597","Chief of Naval Staff",""
"0xc45ac","Chief of Staff",""
"0xc45bb","Finance Minister",""
"0xc45cc","Foreign Minister",""
"0xc45dd","President",""
"0xc45e7","Chief of Naval Op.",""
"0xc45fa","Chief of Staff",""
"0xc4609","Sec. of Treasury",""
"0xc461a","Secretary of State",""
"0xc462d","Prime Minister",""
"0xc463c","Chf.of Nvl.Stf.",""
"0xc464c","Chief of Staff",""
"0xc465b","Finance Min.",""
"0xc4668","Foreign Min.",""
"0xc4675","President",""
"0xc467f","Chf.of Nvl.Op.",""
"0xc468e","Chief of Staff",""
"0xc469d","Sec.of Treasury",""
"0xc46ad","Sec.of State",""
"0xc46f1","B0 %-4s%4d",""
"0xc475c","read_man",""
"0xc476c","B0%s",""
"0xc4778","B7%s",""
"0xc477e","O,O8O/O5O2O;OGO>ODOA",""
"0xc47ce","Diet",""
"0xc47d3","Congress",""
"0xc47f2","C4%-9s",""
"0xc482e","Navy      ",""
"0xc4839","Army      ",""
"0xc4844","Foreign   ",""
"0xc484f","Bases     ",""
"0xc485a","Technology",""
"0xc4865","Government",""
"0xc4875","Navy     ",""
"0xc487f","Army     ",""
"0xc4889","Domestic ",""
"0xc48b8","C0%6d",""
"0xc48fb","C4%-9s",""
"0xc4935","No debate.",""
"0xc4940","Navy      ",""
"0xc494b","Army      ",""
"0xc4956","Foreign   ",""
"0xc4961","Bases     ",""
"0xc496c","Technology",""
"0xc4977","Government",""
"0xc4986","No debate.",""
"0xc4996","Navy     ",""
"0xc49a0","Army     ",""
"0xc49aa","Domestic ",""
"0xc49d4","C0%6d",""
"0xc49de","No debate.",""
"0xc4a36"," INFO ",""
"0xc4a3d"," ENTER ",""
"0xc4a45","Do Nothing",""
"0xc4a6f","%-3s   %-18s -----",""
"0xc4a82","%-3s   %-18s %2d/%2d",""
"0xc4a97","Current situation",""
"0xc4aa9","Select a date.",""
"0xc4ab8","(On or after the %s)",""
"0xc4aed","C0%2d+%2d",""
"0xc4af8","C0%5d",""
"0xc4b03","C0%2d+%-2s%2d",""
"0xc4b11","Navy",""
"0xc4b16","Army",""
"0xc4b1f","Navy",""
"0xc4b24","Army",""
"0xc4b29","Europe",""
"0xc4b34","Station your forces.",""
"0xc4b4f"," CONFIRM ",""
"0xc4b60","C7%d. %-21s",""
"0xc4b6c","%d card%s",""
"0xc4c57","C4%4s",""
"0xc4c64"," SPACE",""
"0xc4c6b","BACKSP",""
"0xc4c72"," ENTER",""
"0xc4c79","CANCEL",""
"0xc4c94","B>Select a character.",""
"0xc4cb2","C4%s",""
"0xc4cc6","get_tantou",""
"0xc4cd1","put_card",""
"0xc4cda","card_init",""
"0xc4ce4","use_haicard",""
"0xc4cfc","narabekae",""
"0xc4d14","C1%s",""
"0xc4d1c","the %s's",""
"0xc4d28","The %s's",""
"0xc4d32","no_tasuuketsu",""
"0xc4d40","No one.",""
"0xc4d48","Only one person?",""
"0xc4d59","1, 2 people.",""
"0xc4d66","1, 2, 3 people.",""
"0xc4d76","1, 2, 3...4 people?",""
"0xc4d9d","(All in favor of %s proposal?",""
"0xc4dd1","{%s was set as follows.",""
"0xc4dfd",")Well...",""
"0xc4e06","Diet",""
"0xc4e0b","Congress",""
"0xc4e14","Diet",""
"0xc4e19","Congress",""
"0xc4e35",")Imperial HQ",""
"0xc4e42","War Dept.",""
"0xc4e53","M4%-12s",""
"0xc4e5b","%2d/%2d/%4d",""
"0xc4e72","government spending",""
"0xc4e86","domestic materials",""
"0xc4e9a","army draftees",""
"0xc4ea8","naval spending",""
"0xc4eb7","army spending",""
"0xc4ec5","foreign spending",""
"0xc4ed6","navy materials",""
"0xc4ee5","army materials",""
"0xc4ef4","navy draftees",""
"0xc4f10","how about it?",""
"0xc4f1e","what do you think?",""
"0xc4f32","please.",""
"0xc4f56",", what do you think?",""
"0xc4f6c","'s opinion on this matter.",""
"0xc4f88","I'd like to hear the ",""
"0xc4fa4","(cough-cough)",""
"0xc4fb2","Wait a minute!",""
"0xc4fc2","Just a moment.",""
"0xc4fd2","Wait a minute!",""
"0xc4fe2","Just a moment.",""
"0xc4ff6","Sir, do",""
"0xc4ffe","Navy",""
"0xc5003","Army",""
"0xc500a","I agree with the %s.",""
"0xc5020","You must be joking.",""
"0xc5034","I'm sorry, but",""
"0xc5044","It cannot be helped...",""
