"offset","source","note"
"0xc91f9","at the %s.",""
"0xc9204","%s fleet",""
"0xc920d","%s fleet",""
"0xc9216","Warship",""
"0xc921e","Airplane",""
"0xc9234","%s Transport",""
"0xc9245","B1%4s Fleet  ",""
"0xc9253","%4s Fleet",""
"0xc926a","Please assign your transports.",""
"0xc929e","B1%4s Fleet   100   ",""
"0xc92b3","%4s Fleet",""
"0xc92f0","Please distribute materials.",""
"0xc930d"," Organization",""
"0xc931b"," FORMATION ",""
"0xc9327"," SCUTTLE",""
"0xc9330"," FLEET",""
"0xc9354"," FLEET A.F.",""
"0xc9360"," BASE A.F.",""
"0xc9384"," SWITCH ",""
"0xc938d"," MOVE ",""
"0xc9394"," ENTER ",""
"0xc93a8","B1%-16s",""
"0xc93b0","%-16s",""
"0xc93b6","#Pl     Lvl",""
"0xc93e0","Airfield 1",""
"0xc93eb","Airfield 2",""
"0xc93f6","Airfield 1",""
"0xc9401","Airfield 2",""
"0xc9417"," %2s %-12s ",""
"0xc9423","%-5s",""
"0xc9429","%-12s ",""
"0xc9430","%3d/%1d%8d%9d  ",""
"0xc9440","None",""
"0xc9445","%d/8  %-12s",""
"0xc9452","Which ship will you scuttle?",""
"0xc948c"," EXECUTE ",""
"0xc9496"," CANCEL ",""
"0xc94b8","   ENTER   ",""
"0xc94d2","Select what you will fix.",""
"0xc94ec","What will you do?",""
"0xc94fe","Which ship will you fix?",""
"0xc9532","%-20s",""
"0xc9538"," Select one.",""
"0xc9545"," QUICK",""
"0xc954c"," TOTAL",""
"0xc9553"," EQUIP",""
"0xc9575","%-12s",""
"0xc957b","Repair",""
"0xc9582","Equip ",""
"0xc958d","B1%s",""
"0xc95bf","Mat'l %5d  Budget %5d",""
"0xc95d5","There are no available docks.",""
"0xc960a","B%c%-16s %2d",""
"0xc961f","%-16s %2d",""
"0xc962e","B%c%-16s %2d",""
"0xc9643","%-16s %2d",""
"0xc9651","B<Base Materials %5d",""
"0xc9666","Reserved Trans. %4d",""
"0xc967a","Base's Trans.   %4d",""
"0xc968e","There are no transports.",""
"0xc96a7"," MATERIALS",""
"0xc96b2"," 1ST TRANSPORT",""
"0xc96c1"," 2ND TRANSPORT",""
"0xc96d0","What will you supply?",""
"0xc96e6"," Supply",""
"0xc96ee"," MATERIALS",""
"0xc96f9"," AIRCRAFT",""
"0xc9714","Which will you supply?",""
"0xc9732","%s Army Div.",""
"0xc9754"," Destination",""
"0xc9761","Post",""
"0xc9766","Base",""
"0xc976b"," %-11s %4s (%3s)",""
"0xc977c","Where will you move?",""
"0xc9797","%s Army Div.",""
"0xc97a4","The %s arrived at %s.",""
"0xc97ba"," Boarding",""
"0xc97c4","1st Trans",""
