"file","id","source","target","note"
"KSDATA","KSDATA:0261","Java","爪哇","艦船名（詳表）"
"KSDATA","KSDATA:0262","De Ruyter","德·魯伊特","艦船名（詳表）"
"KSDATA","KSDATA:0263","Tromp","特龍普","艦船名（詳表）"
"KSDATA","KSDATA:0264","Scharnhorst","沙恩霍斯特","艦船名（詳表）"
"KSDATA","KSDATA:0265","Tirpitz","鐵必制","艦船名（詳表）"
"KSDATA","KSDATA:0266","Prinz Eugen","歐根親王","艦船名（詳表）"
"KSDATA","KSDATA:0267","$ +2","$ +2","艦船名（詳表）"
"KSDATA","KSDATA:0268","Kirov","基洛夫","艦船名（詳表）"
"KSDATA","KSDATA:0269","#EN","#EN","艦船名（詳表）"
"KSDATA","KSDATA:0270","#EM","#EM","艦船名（詳表）"
"KSDATA","KSDATA:0271","""WD","""WD","艦船名（詳表）"
"KSDATA","KSDATA:0272","""WC","""WC","艦船名（詳表）"
"KSDATA","KSDATA:0273","!#3","!#3","艦船名（詳表）"
"KSDATA","KSDATA:0274","!&=","!&=","艦船名（詳表）"
"KSDATA","KSDATA:0275","!-7","!-7","艦船名（詳表）"
"KSDATA","KSDATA:0276","0""!=","0""!=","艦船名（詳表）"
"KSDATA","KSDATA:0277","0""%B","0""%B","艦船名（詳表）"
"KSDATA","KSDATA:0278","0""!3","0""!3","艦船名（詳表）"
"KSDATA","KSDATA:0279","0""'B","0""'B","艦船名（詳表）"
"KSDATA","KSDATA:0280","""!>","""!>","艦船名（詳表）"
"KSDATA","KSDATA:0281","""""3","""""3","艦船名（詳表）"
"KSDATA","KSDATA:0282","""#@","""#@","艦船名（詳表）"
"KSDATA","KSDATA:0283","$#!5","$#!5","艦船名（詳表）"
"KSDATA","KSDATA:0284","$#+<","$#+<","艦船名（詳表）"
"KSDATA","KSDATA:0285","$#$B","$#$B","艦船名（詳表）"
"KSDATA","KSDATA:0286","$#(=","$#(=","艦船名（詳表）"
"KSDATA","KSDATA:0287","$#H@","$#H@","艦船名（詳表）"
"KSDATA","KSDATA:0288","$#H4","$#H4","艦船名（詳表）"
"KSDATA","KSDATA:0289","$#>","$#>","艦船名（詳表）"
"KSDATA","KSDATA:0290","#""<","#""<","艦船名（詳表）"
"KSDATA","KSDATA:0291","#-9","#-9","艦船名（詳表）"
"KSDATA","KSDATA:0292","#-=","#-=","艦船名（詳表）"
"KSDATA","KSDATA:0293","#""C","#""C","艦船名（詳表）"
"KSDATA","KSDATA:0294","#-2","#-2","艦船名（詳表）"
"KSDATA","KSDATA:0295","#-D","#-D","艦船名（詳表）"
"KSDATA","KSDATA:0296","#-A","#-A","艦船名（詳表）"
"KSDATA","KSDATA:0297","#-@","#-@","艦船名（詳表）"
"KSDATA","KSDATA:0298","!&;","!&;","艦船名（詳表）"
"KSDATA","KSDATA:0299","!(D","!(D","艦船名（詳表）"
"KSDATA","KSDATA:0300","!""=","!""=","艦船名（詳表）"
"KSDATA","KSDATA:0301","#.R","#.R","艦船名（詳表）"
"KSDATA","KSDATA:0302","#.V","#.V","艦船名（詳表）"
"KSDATA","KSDATA:0303","!"">","!"">","艦船名（詳表）"
"KSDATA","KSDATA:0304","!'8","!'8","艦船名（詳表）"
"KSDATA","KSDATA:0305","!#8","!#8","艦船名（詳表）"
"KSDATA","KSDATA:0306","0""!2","0""!2","艦船名（詳表）"
"KSDATA","KSDATA:0307","0""&>","0""&>","艦船名（詳表）"
"KSDATA","KSDATA:0308","0"" A","0"" A","艦船名（詳表）"
"KSDATA","KSDATA:0309",""" >",""" >","艦船名（詳表）"
"KSDATA","KSDATA:0310",""" ;",""" ;","艦船名（詳表）"
"KSDATA","KSDATA:0311","$#87","$#87","艦船名（詳表）"
"KSDATA","KSDATA:0312","$#&;","$#&;","艦船名（詳表）"
"KSDATA","KSDATA:0313","$#(?","$#(?","艦船名（詳表）"
"KSDATA","KSDATA:0314","$#,3","$#,3","艦船名（詳表）"
"KSDATA","KSDATA:0315","$#8D","$#8D","艦船名（詳表）"
"KSDATA","KSDATA:0316","$#37","$#37","艦船名（詳表）"
"KSDATA","KSDATA:0317","Tama","多摩","艦船名（詳表）"
"KSDATA","KSDATA:0318","Kitakami","北上","艦船名（詳表）"
"KSDATA","KSDATA:0319","Nagara","長良","艦船名（詳表）"
"KSDATA","KSDATA:0320","Isuzu","五十鈴","艦船名（詳表）"
"KSDATA","KSDATA:0321","Yura","由良","艦船名（詳表）"
"KSDATA","KSDATA:0322","Uzuki","卯月","艦船名（詳表）"
"KSDATA","KSDATA:0323","Yuzuki","夕月","艦船名（詳表）"
"KSDATA","KSDATA:0324","Asagiri","朝霧","艦船名（詳表）"
"KSDATA","KSDATA:0325","Yugiri","夕霧","艦船名（詳表）"
"KSDATA","KSDATA:0326","Amagiri","天霧","艦船名（詳表）"
"KSDATA","KSDATA:0327","Akebono","曙","艦船名（詳表）"
"KSDATA","KSDATA:0328","Sazanami","漣","艦船名（詳表）"
"KSDATA","KSDATA:0329","Ushio","潮","艦船名（詳表）"
"KSDATA","KSDATA:0330","Hatsuharu","初春","艦船名（詳表）"
"KSDATA","KSDATA:0331","Nenohi","子日","艦船名（詳表）"
"KSDATA","KSDATA:0332","Wakaba","若葉","艦船名（詳表）"
"KSDATA","KSDATA:0333","Hatsushimo","初霜","艦船名（詳表）"
"KSDATA","KSDATA:0334","Ariake","有明","艦船名（詳表）"
"KSDATA","KSDATA:0335","Yugure","夕暮","艦船名（詳表）"
"KSDATA","KSDATA:0336","Shiratsuyu","白露","艦船名（詳表）"
"KSDATA","KSDATA:0337","Shigure","時雨","艦船名（詳表）"
"KSDATA","KSDATA:0338","Umikaze","海風","艦船名（詳表）"
"KSDATA","KSDATA:0339","Yamakaze","山風","艦船名（詳表）"
"KSDATA","KSDATA:0340","Kawakaze","江風","艦船名（詳表）"
"KSDATA","KSDATA:0341","Suzukaze","涼風","艦船名（詳表）"
"KSDATA","KSDATA:0342","#""@","#""@","艦船名（詳表）"
"KSDATA","KSDATA:0343","#""D","#""D","艦船名（詳表）"
"KSDATA","KSDATA:0344","# A","# A","艦船名（詳表）"
"KSDATA","KSDATA:0345","# :","# :","艦船名（詳表）"
"KSDATA","KSDATA:0346","#!B","#!B","艦船名（詳表）"
"KSDATA","KSDATA:0347","# B","# B","艦船名（詳表）"
"KSDATA","KSDATA:0348","# 5","# 5","艦船名（詳表）"
"KSDATA","KSDATA:0349","Shimakaze","島風","艦船名（詳表）"
"KSDATA","KSDATA:0350","Matsu","松","艦船名（詳表）"
"KSDATA","KSDATA:0351","Noshiro","能代","艦船名（詳表）"
"KSDATA","KSDATA:0352","Yahagi","矢矧","艦船名（詳表）"
"KSDATA","KSDATA:0353","""*B","""*B","艦船名（詳表）"
"KSDATA","KSDATA:0354","""46","""46","艦船名（詳表）"
"KSDATA","KSDATA:0355","""53","""53","艦船名（詳表）"
"KSDATA","KSDATA:0356","South Dakota","南達科他","艦船名（詳表）"
"KSDATA","KSDATA:0357","Iowa","愛荷華","艦船名（詳表）"
"KSDATA","KSDATA:0358","!(5","!(5","艦船名（詳表）"
"KSDATA","KSDATA:0359","!+>","!+>","艦船名（詳表）"
