"file","id","offset","source","target","note"
"KSNAME.TK2","KSNAME.TK2:0217","217","Ishikari","石狩",""
"KSNAME.TK2","KSNAME.TK2:0218","218","Uji","宇治",""
"KSNAME.TK2","KSNAME.TK2:0219","219","Touga","東雅",""
"KSNAME.TK2","KSNAME.TK2:0220","220","Kuzuryu","九頭龍",""
"KSNAME.TK2","KSNAME.TK2:0221","221","Kurobe","黑部",""
"KSNAME.TK2","KSNAME.TK2:0222","222","Shimanto","四萬十",""
"KSNAME.TK2","KSNAME.TK2:0223","223","Chikugo","筑後",""
"KSNAME.TK2","KSNAME.TK2:0224","224","Chitose","千歲",""
"KSNAME.TK2","KSNAME.TK2:0225","225","Chikuma","筑摩",""
"KSNAME.TK2","KSNAME.TK2:0226","226","Teshio","天鹽",""
"KSNAME.TK2","KSNAME.TK2:0227","227","Naruse","成瀨",""
"KSNAME.TK2","KSNAME.TK2:0228","228","Niyodo","仁淀",""
"KSNAME.TK2","KSNAME.TK2:0229","229","Hatsuse","初瀨",""
"KSNAME.TK2","KSNAME.TK2:0230","230","Yoneshiro","米代",""
"KSNAME.TK2","KSNAME.TK2:0231","231","Araumi","荒海",""
"KSNAME.TK2","KSNAME.TK2:0232","232","Kiyokaze","清風",""
"KSNAME.TK2","KSNAME.TK2:0233","233","Satokaze","里風",""
"KSNAME.TK2","KSNAME.TK2:0234","234","Shimokaze","霜風",""
"KSNAME.TK2","KSNAME.TK2:0235","235","Murakaze","村風",""
"KSNAME.TK2","KSNAME.TK2:0236","236","Kitakaze","北風",""
"KSNAME.TK2","KSNAME.TK2:0237","237","Kochi","東風",""
"KSNAME.TK2","KSNAME.TK2:0238","238","Nishikaze","西風",""
"KSNAME.TK2","KSNAME.TK2:0239","239","Hae","南風",""
"KSNAME.TK2","KSNAME.TK2:0240","240","Umigiri","海霧",""
"KSNAME.TK2","KSNAME.TK2:0241","241","Yamagiri","山霧",""
"KSNAME.TK2","KSNAME.TK2:0242","242","Aokumo","青雲",""
"KSNAME.TK2","KSNAME.TK2:0243","243","Amagumo","雨雲",""
"KSNAME.TK2","KSNAME.TK2:0244","244","Benikumo","紅雲",""
"KSNAME.TK2","KSNAME.TK2:0245","245","Yukigumo","雪雲",""
"KSNAME.TK2","KSNAME.TK2:0246","246","Okishio","沖潮",""
"KSNAME.TK2","KSNAME.TK2:0247","247","Takashio","高潮",""
"KSNAME.TK2","KSNAME.TK2:0248","248","Nadashio","灘潮",""
"KSNAME.TK2","KSNAME.TK2:0249","249","Hamashio","濱潮",""
"KSNAME.TK2","KSNAME.TK2:0250","250","Yushio","夕潮",""
"KSNAME.TK2","KSNAME.TK2:0251","251","Wakashio","若潮",""
"KSNAME.TK2","KSNAME.TK2:0252","252","Izayoi","十六夜",""
"KSNAME.TK2","KSNAME.TK2:0253","253","Urazuki","浦月",""
"KSNAME.TK2","KSNAME.TK2:0254","254","Mangetsu","滿月",""
"KSNAME.TK2","KSNAME.TK2:0255","255","Minezuki","峰月",""
"KSNAME.TK2","KSNAME.TK2:0256","256","Yamazuki","山月",""
"KSNAME.TK2","KSNAME.TK2:0257","257","Yumizuki","弓月",""
"KSNAME.TK2","KSNAME.TK2:0258","258","Asanami","朝波",""
"KSNAME.TK2","KSNAME.TK2:0259","259","Yunami","夕波",""
"SSNAME.TK2","SSNAME.TK2:0000","0","Amberjack","琥珀魚號",""
"SSNAME.TK2","SSNAME.TK2:0001","1","Eel","鰻魚號",""
"SSNAME.TK2","SSNAME.TK2:0002","2","Basilisk","蛇怪號",""
"SSNAME.TK2","SSNAME.TK2:0003","3","Walrus","海象號",""
"SSNAME.TK2","SSNAME.TK2:0004","4","Ulua","烏魯阿號",""
"SSNAME.TK2","SSNAME.TK2:0005","5","Escolar","油魚號",""
"SSNAME.TK2","SSNAME.TK2:0006","6","Garrupa","石斑魚號",""
"SSNAME.TK2","SSNAME.TK2:0007","7","Garlopa","花石斑號",""
"SSNAME.TK2","SSNAME.TK2:0008","8","Greenfish","青魚號",""
"SSNAME.TK2","SSNAME.TK2:0009","9","Goldling","金鱗號",""
"SSNAME.TK2","SSNAME.TK2:0010","10","Sea Panther","海豹號",""
"SSNAME.TK2","SSNAME.TK2:0011","11","Joefish","喬魚號",""
"SSNAME.TK2","SSNAME.TK2:0012","12","Stickleback","刺魚號",""
"SSNAME.TK2","SSNAME.TK2:0013","13","Spinacks","斯皮納克斯號",""
"SSNAME.TK2","SSNAME.TK2:0014","14","Talbot","塔爾博特號",""
"SSNAME.TK2","SSNAME.TK2:0015","15","Diodon","刺魨號",""
"SSNAME.TK2","SSNAME.TK2:0016","16","Tiburon","鯊魚號",""
"SSNAME.TK2","SSNAME.TK2:0017","17","Dogfish","角鯊號",""
"SSNAME.TK2","SSNAME.TK2:0018","18","Dorado","鯕鰍號",""
"SSNAME.TK2","SSNAME.TK2:0019","19","Nerka","紅鮭號",""
"SSNAME.TK2","SSNAME.TK2:0020","20","Needlefish","針魚號",""
"SSNAME.TK2","SSNAME.TK2:0021","21","Halfbeak","半喙魚號",""
"SSNAME.TK2","SSNAME.TK2:0022","22","Whiting","牙鱈號",""
"SSNAME.TK2","SSNAME.TK2:0023","23","Pompano","鯧鰺號",""
"SSNAME.TK2","SSNAME.TK2:0024","24","Unicorn","獨角獸號",""
"SSNAME.TK2","SSNAME.TK2:0025","25","I-80","伊-80",""
"SSNAME.TK2","SSNAME.TK2:0026","26","I-81","伊-81",""
"SSNAME.TK2","SSNAME.TK2:0027","27","I-90","伊-90",""
"SSNAME.TK2","SSNAME.TK2:0028","28","I-91","伊-91",""
"SSNAME.TK2","SSNAME.TK2:0029","29","I-100","伊-100",""
"SSNAME.TK2","SSNAME.TK2:0030","30","I-200","伊-200",""
"SSNAME.TK2","SSNAME.TK2:0031","31","I-201","伊-201",""
"SSNAME.TK2","SSNAME.TK2:0032","32","I-500","伊-500",""
"SSNAME.TK2","SSNAME.TK2:0033","33","I-501","伊-501",""
"SSNAME.TK2","SSNAME.TK2:0034","34","I-600","伊-600",""
"SSNAME.TK2","SSNAME.TK2:0035","35","I-601","伊-601",""
"SSNAME.TK2","SSNAME.TK2:0036","36","I-700","伊-700",""
"SSNAME.TK2","SSNAME.TK2:0037","37","I-701","伊-701",""
"SSNAME.TK2","SSNAME.TK2:0038","38","I-800","伊-800",""
"SSNAME.TK2","SSNAME.TK2:0039","39","I-801","伊-801",""
