"file","id","offset","source","target","note"
"MSG1.TK2","MSG1.TK2:0000","0","Fleet Commander Tamon Yamaguchi delivered his","",""
"MSG1.TK2","MSG1.TK2:0001","46","final order to his crew on the flight deck of","",""
"MSG1.TK2","MSG1.TK2:0002","92","the severely damaged Hiryu.","",""
"MSG1.TK2","MSG1.TK2:0003","199","JI have never seen more courageous soldiers than","",""
"MSG1.TK2","MSG1.TK2:0004","248","the men of the Hiryu. However, her time is up","",""
"MSG1.TK2","MSG1.TK2:0005","294","and you must all return home to your families.","",""
"MSG1.TK2","MSG1.TK2:0006","400","Commander, as her captain, I will take care of","",""
"MSG1.TK2","MSG1.TK2:0007","447","her to the very end. The Navy needs you! Please,","",""
"MSG1.TK2","MSG1.TK2:0008","496","let her go and see the crew safely home.","",""
"MSG1.TK2","MSG1.TK2:0009","598","sVEver since I boarded the Hiryu, I have wished to","",""
"MSG1.TK2","MSG1.TK2:0010","649","die with her. Today, we are like one. Would you","",""
"MSG1.TK2","MSG1.TK2:0011","697","be so cruel to tear apart a single soul?","",""
"MSG1.TK2","MSG1.TK2:0012","998","(MLook, it's a beautiful moon tonight. We're on","",""
"MSG1.TK2","MSG1.TK2:0013","1046","the sea for months at a time, but you know what?","",""
"MSG1.TK2","MSG1.TK2:0014","1095","I've never paused to enjoy a peaceful moment on","",""
"MSG1.TK2","MSG1.TK2:0015","1143","board this graceful ship.","",""
"MSG1.TK2","MSG1.TK2:0016","1200","Commander...","",""
"MSG1.TK2","MSG1.TK2:0017","1400","The moon cast a gentle ray of light upon the","",""
"MSG1.TK2","MSG1.TK2:0018","1445","sinking deck, and the two officers shared the","",""
"MSG1.TK2","MSG1.TK2:0019","1491","Hiryu's final moments with peaceful smiles on","",""
"MSG1.TK2","MSG1.TK2:0020","1537","their faces.","",""
"MSG1.TK2","MSG1.TK2:0021","1596","PU'1The true battle has yet to come. I promise to","",""
"MSG1.TK2","MSG1.TK2:0022","1646","return to the Philippines and defeat the","",""
"MSG1.TK2","MSG1.TK2:0023","1687","Japanese once and for all!","",""
"MSG1.TK2","MSG1.TK2:0024","1799","EI shall return!","",""
"MSG1.TK2","MSG1.TK2:0025","1999","{Welcome to ""The Voice of Freedom"". This is","",""
"MSG1.TK2","MSG1.TK2:0026","2043","General MacArthur speaking. My friends in the","",""
"MSG1.TK2","MSG1.TK2:0027","2089","Philippines, I am finally back!","",""
"MSG1.TK2","MSG1.TK2:0028","2200","I have returned!","",""
"MSG1.TK2","MSG1.TK2:0029","2399","I--Intelligence Report-- It appears that leaders of the Allied forces have convened in a meeting.","",""
"MSG1.TK2","MSG1.TK2:0030","2600","On %s %d, %d, the leaders of the United","",""
"MSG1.TK2","MSG1.TK2:0031","2640","States, England, and the U.S.S.R. met at Yalta in","",""
"MSG1.TK2","MSG1.TK2:0032","2690","the Crimea. This meeting of the ""Big Three"" later","",""
"MSG1.TK2","MSG1.TK2:0033","2740","became known as the famous Yalta Conference.","",""
"MSG1.TK2","MSG1.TK2:0034","2800","We all know Germany is finished. After Germany","",""
"MSG1.TK2","MSG1.TK2:0035","2847","falls, we will wait two to three months before","",""
"MSG1.TK2","MSG1.TK2:0036","2894","joining the war.","",""
"MSG1.TK2","MSG1.TK2:0037","3000","That is good news for all of us Allies. The","",""
"MSG1.TK2","MSG1.TK2:0038","3044","strength of U.S.S.R. will be invaluable in the","",""
"MSG1.TK2","MSG1.TK2:0039","3091","Pacific.","",""
"MSG1.TK2","MSG1.TK2:0040","3200","As for Germany, we will ask for their surrender,","",""
"MSG1.TK2","MSG1.TK2:0041","3249","which is long overdue, within the next two or","",""
"MSG1.TK2","MSG1.TK2:0042","3295","three days.","",""
"MSG1.TK2","MSG1.TK2:0043","3400","I have no objections. Once the Germans","",""
"MSG1.TK2","MSG1.TK2:0044","3439","surrender, we must focus our energies on","",""
"MSG1.TK2","MSG1.TK2:0045","3480","rebuilding a peaceful Europe.","",""
"MSG1.TK2","MSG1.TK2:0046","3600","There are still many issues that we must","",""
"MSG1.TK2","MSG1.TK2:0047","3641","discuss, but, we are all busy, so we'll leave","",""
"MSG1.TK2","MSG1.TK2:0048","3687","them for another time.","",""
"MSG1.TK2","MSG1.TK2:0049","3795","q~aRtWell then, this meeting is officially over. May","",""
"MSG1.TK2","MSG1.TK2:0050","3848","the skies be brighter when next we meet.","",""
"MSG1.TK2","MSG1.TK2:0051","4000","Let's hope this ugly war ends soon.","",""
"MSG1.TK2","MSG1.TK2:0052","4200","My sentiments exactly.","",""
"MSG1.TK2","MSG1.TK2:0053","4399","vOn %s %d, %d, the U.S.S.R. has formally","",""
"MSG1.TK2","MSG1.TK2:0054","4440","declared war on Japan. We must defeat Japan and","",""
"MSG1.TK2","MSG1.TK2:0055","4488","liberate the people of Asia!","",""
"MSG1.TK2","MSG1.TK2:0056","4599","OAfter grueling battles, the Gibraltar of the Far","",""
"MSG1.TK2","MSG1.TK2:0057","4649","East, Singapore, finally fell into the hands of","",""
"MSG1.TK2","MSG1.TK2:0058","4697","the Japanese. British Lt. Gen. Percival and Jap-","",""
"MSG1.TK2","MSG1.TK2:0059","4746","anese Lt. Gen. Yamashita entered negotiations.","",""
"MSG1.TK2","MSG1.TK2:0060","4799","5General, I have a question for you. Are you","",""
"MSG1.TK2","MSG1.TK2:0061","4844","aware that we are requesting your surrender?","",""
"MSG1.TK2","MSG1.TK2:0062","4889","Your unconditional surrender, that is.","",""
"MSG1.TK2","MSG1.TK2:0063","4998","5UYes, but no reason to be hasty, old man. I'd","",""
"MSG1.TK2","MSG1.TK2:0064","5045","like to see the terms you're offering first.","",""
"MSG1.TK2","MSG1.TK2:0065","5200","I'm not offering any terms! Now listen. I am","",""
"MSG1.TK2","MSG1.TK2:0066","5245","asking for your unconditional surrender.","",""
"MSG1.TK2","MSG1.TK2:0067","5400","As I said, I will agree to your cease-fire. But","",""
"MSG1.TK2","MSG1.TK2:0068","5448","only if I am satisfied with your terms.","",""
"MSG1.TK2","MSG1.TK2:0069","5599","HMr. Percival! It's a simple yes or no question!","",""
"MSG1.TK2","MSG1.TK2:0070","5648","As head of the British forces in this area, will","",""
"MSG1.TK2","MSG1.TK2:0071","5697","you surrender unconditionally?!","",""
"MSG1.TK2","MSG1.TK2:0072","5800","Yes. I surrender..., unconditionally.","",""
"MSG1.TK2","MSG1.TK2:0073","6000","The Prince of Wales would be sinking in a matter","",""
"MSG1.TK2","MSG1.TK2:0074","6049","of time. As the crew prepared to abandon ship,","",""
"MSG1.TK2","MSG1.TK2:0075","6096","her commander, Sir Thomas Phillips of the","",""
"MSG1.TK2","MSG1.TK2:0076","6138","British Royal Navy, refused to leave his post.","",""
"MSG1.TK2","MSG1.TK2:0077","6200","Commander, please! The Royal Navy cannot afford","",""
"MSG1.TK2","MSG1.TK2:0078","6248","to lose you! You must let her go!","",""
"MSG1.TK2","MSG1.TK2:0079","6399","1His staff pleaded with him frantically. But","",""
"MSG1.TK2","MSG1.TK2:0080","6444","Admiral Phillips smiled and quietly uttered","",""
"MSG1.TK2","MSG1.TK2:0081","6488","three words.","",""
"MSG1.TK2","MSG1.TK2:0082","6598","u>No thank you.","",""
"MSG1.TK2","MSG1.TK2:0083","6799","PLate that night, England's Prime Minister, W.S.","",""
"MSG1.TK2","MSG1.TK2:0084","6848","Churchill, was pulled from his sleep by the sound","",""
"MSG1.TK2","MSG1.TK2:0085","6898","of the telephone next to his bed. The voice over","",""
"MSG1.TK2","MSG1.TK2:0086","6947","the phone was strained.","",""
"MSG1.TK2","MSG1.TK2:0087","6999","9I'm terribly sorry to call you so late, sir. I","",""
"MSG1.TK2","MSG1.TK2:0088","7047","have a report. The Prince of Wales and the","",""
"MSG1.TK2","MSG1.TK2:0089","7090","Repulse were sunk in battle. We also lost Tom","",""
"MSG1.TK2","MSG1.TK2:0090","7136","Phillips.","",""
"MSG1.TK2","MSG1.TK2:0091","7200","Are you certain of this, man?","",""
"MSG1.TK2","MSG1.TK2:0092","7274","#5YO)xzT","",""
"MSG1.TK2","MSG1.TK2:0093","7400","It's been confirmed, sir.","",""
"MSG1.TK2","MSG1.TK2:0094","7599",")I see... Thank you for calling.","",""
"MSG1.TK2","MSG1.TK2:0095","9200","Anti-Japanese sentiment is growing in","",""
"MSG1.TK2","MSG1.TK2:0096","9238","%s. As a result, the base there","",""
"MSG1.TK2","MSG1.TK2:0097","9270","incurred damages.","",""
"MSG1.TK2","MSG1.TK2:0098","9400","People in %s have been holding peace","",""
"MSG1.TK2","MSG1.TK2:0099","9437","demonstrations. As a result, the base there","",""
"MSG1.TK2","MSG1.TK2:0100","9481","sustained damages.","",""
"MSG1.TK2","MSG1.TK2:0101","9600","I have a report from the %s Intelligence ","",""
"MSG1.TK2","MSG1.TK2:0102","9642","Department. We succeeded in decoding the ","",""
"MSG1.TK2","MSG1.TK2:0103","9684","%s cryptogram!","",""
"MSG1.TK2","MSG1.TK2:0104","9800","Germany now rules the Atlantic Ocean! We must","",""
"MSG1.TK2","MSG1.TK2:0105","9846","seek out new territories - to the Pacific!","",""
"MSG1.TK2","MSG1.TK2:0106","10000","It is time for Germany to show all of Europe,","",""
