"offset","source","target","note"
"0x00021C","CMicrosoft Windows ","",""
"0x00023D","$                                        Z","",""
"0x000869","APPMENU","",""
"0x000871","APPVERSION","",""
"0x00087C","TEKE2WIN","",""
"0x000887","___EXPORTEDSTUB","",""
"0x0008A7","KERNEL","",""
"0x0008B2","USER","",""
"0x0008B7","MMSYSTEM","",""
"0x0008C0","TOOLHELP","",""
"0x0008C9","WING","",""
"0x0008D7","TEKE2WIN.exe","",""
"0x000C7F","_8,d","",""
"0x000D8C","_$RP","",""
"0x001361","u7hp","",""
"0x0025F5","t)hr","",""
"0x002817",",5(F","",""
"0x002932","_@:F","",""
"0x002BEE","Y 8F","",""
"0x002C6E",",5(F","",""
"0x002D2B","_4PWV","",""
"0x00304A","ZhV$P","",""
"0x003073","Ht:HtUH","",""
"0x00307E","Htg^_","",""
"0x0030F4","_4:F","",""
"0x0033D2","*(1(*(","",""
"0x00341B","lbZ(","",""
"0x003458","`dn(","",""
"0x0034D8","WVfj","",""
"0x003506","h-)h","",""
"0x0035CC"," t>P","",""
"0x0035EB","Ph}*hV","",""
"0x003836","PhM,h","",""
"0x00383F","cU,<","",""
"0x003879","r-;F","",""
"0x003B19","}/^_","",""
"0x003B35","Phl/h","",""
"0x003D58","sBfj","",""
"0x003D7A","RPfXfYf","",""
"0x003E18","`?/h52h","",""
"0x003E29","h22h0Z","",""
"0x003E30","zFC2hN2hN","",""
"0x003E42","hK2hLZ","",""
"0x003E49","zF\\2h","",""
"0x003E5B","hd2hhZ","",""
"0x003E62","zFv2","",""
"0x003EB7","2h7/h>","",""
"0x003F50","d&*G","",""
"0x004102","n+95","",""
"0x00410D","15^_","",""
"0x0041D9","_@:F","",""
"0x00428E","I3;F","",""
"0x0042EE","PhM7h","",""
"0x0042F6","hfU7","",""
"0x00434B","Phw7h","",""
"0x004375","Vh<8hV","",""
"0x00437F","D8^_","",""
"0x0043E4","%8RP","",""
"0x004508",">9Ph","",""
"0x00472E","_\\WV","",""
"0x0047B7","Phe<hV","",""
"0x004B5A",",Rg3","",""
"0x004B75","TPlA","",""
"0x004BC6","Ph_Ah","",""
"0x004D6B","m~A*","",""
"0x004EFB","TPBC*","",""
"0x004F40","TP^C*","",""
"0x004F4B","*|&8","",""
"0x004F5C","TPjC4","",""
"0x004FC4","=DRP","",""
"0x00501D","TPJD*","",""
"0x0050BF","/'E^","",""
"0x005254","vR}B^_","",""
"0x0054FA","hYHh","",""
"0x00551D",",|f&","",""
"0x005617","TPVF","",""
"0x005625","SJ8F","",""
"0x00577B",".|f&","",""
"0x0057F5","hTLh","",""
"0x0057FD","laL=","",""
"0x005861","yL:F","",""
"0x0059DC","TP3N<","",""
"0x005A31","TPKN","",""
"0x005A3B","*|&8","",""
"0x005B36","PhFOh","",""
"0x005B45","hiOh","",""
"0x005B4C","`dqO:F","",""
"0x005B67","Ph{Oh","",""
"0x005C67","plvP","",""
"0x005DFD","0|&8","",""
"0x005E04","uOPh#Rh","",""
"0x005E0F","c+R<","",""
"0x005E21","Ph8Oh","",""
"0x005E29","xa@ORP","",""
"0x005F63","l&uS","",""
"0x005FC6","hmTh","",""
"0x005FFC","Ph`Th","",""
"0x006069","TRPhMUh","",""
"0x006078","n+ZU","",""
"0x0060AC","lb!U","",""
"0x006147","hlURPhsUhd","",""
"0x0061E3","lb=VRP","",""
"0x006202","HRRP","",""
"0x0062B1",",R`X","",""
"0x00631C","b+WP","",""
"0x0064BC","Ph=Yh","",""
"0x0064C5","`4YRP","",""
"0x006544","'OYP","",""
"0x006625","c7Z<","",""
"0x006635","xaGZ","",""
"0x0066CE","hp[h","",""
"0x006892","z]:F","",""
"0x00692E","0]<]P]Z]d]n]","",""
"0x006A47","Ph\\^h","",""
"0x006AEC","c9_*","",""
"0x006B01","_L_A_","",""
"0x006CD5","OaRP","",""
"0x006DC9","CbRP","",""
"0x006EBD","9cRP","",""
"0x0070A9","%eRP","",""
"0x0071AD","5fRP","",""
"0x007235","[`RP","",""
"0x007430","t,HtEHtzH","",""
"0x007453","ohRP","",""
"0x00749E","hI^h","",""
"0x007517","}iRP","",""
"0x00751F","h1ih","",""
"0x00755C","^ili","",""
"0x007585","hDkh","",""
"0x00758C","n+Lk","",""
"0x0075CE","3jRP","",""
"0x007668","sjRP","",""
"0x0076D7","0kRP","",""
"0x007730",";kRP","",""
"0x007743","hUkh","",""
"0x00774A","n+eS","",""
"0x007775","t-HtRHtcH","",""
"0x0077CC","h`nh","",""
"0x007834","OlRP","",""
"0x007857","hilh","",""
"0x00785E","n+(i","",""
"0x007934","6mDmVmDm|m","",""
