"file","id","offset","source","target","note"
"MSG1.TK2","MSG1.TK2:0000","0","Fleet Commander Tamon Yamaguchi delivered his","艦隊司令山口多聞在",""
"MSG1.TK2","MSG1.TK2:0001","46","final order to his crew on the flight deck of","重創的飛龍號飛行甲板上，",""
"MSG1.TK2","MSG1.TK2:0002","92","the severely damaged Hiryu.","向全體乘員下達了最後的命令。",""
"MSG1.TK2","MSG1.TK2:0003","199","I have never seen more courageous soldiers than","我從未見過比","移除開頭雜訊「J」"
"MSG1.TK2","MSG1.TK2:0004","248","the men of the Hiryu. However, her time is up","飛龍號官兵更英勇的戰士。然而，她的時限已到，",""
"MSG1.TK2","MSG1.TK2:0005","294","and you must all return home to your families.","各位都該回到家人身邊了。",""
"MSG1.TK2","MSG1.TK2:0006","400","Commander, as her captain, I will take care of","司令官，身為艦長，我會",""
"MSG1.TK2","MSG1.TK2:0007","447","her to the very end. The Navy needs you! Please,","陪她到最後一刻。海軍需要您！請",""
"MSG1.TK2","MSG1.TK2:0008","496","let her go and see the crew safely home.","您放手讓她走，帶乘員平安回家。",""
"MSG1.TK2","MSG1.TK2:0009","598","Ever since I boarded the Hiryu, I have wished to","自從登上飛龍號那天起，我就盼望","移除開頭雜訊「sV」"
"MSG1.TK2","MSG1.TK2:0010","649","die with her. Today, we are like one. Would you","能與她共存亡。今天，我們已合為一體。您",""
"MSG1.TK2","MSG1.TK2:0011","697","be so cruel to tear apart a single soul?","忍心將一個靈魂生生拆散嗎？",""
"MSG1.TK2","MSG1.TK2:0012","998","Look, it's a beautiful moon tonight. We're on","看，今晚的月色真美。我們在海上","移除開頭雜訊「(M」"
"MSG1.TK2","MSG1.TK2:0013","1046","the sea for months at a time, but you know what?","一待就是好幾個月，但你知道嗎？",""
"MSG1.TK2","MSG1.TK2:0014","1095","I've never paused to enjoy a peaceful moment on","我從未停下來，在這艘優雅的船上",""
"MSG1.TK2","MSG1.TK2:0015","1143","board this graceful ship.","享受片刻的寧靜。",""
"MSG1.TK2","MSG1.TK2:0016","1200","Commander...","司令官……",""
"MSG1.TK2","MSG1.TK2:0017","1400","The moon cast a gentle ray of light upon the","月光溫柔地灑在",""
"MSG1.TK2","MSG1.TK2:0018","1445","sinking deck, and the two officers shared the","下沉的甲板上，兩位軍官帶著",""
"MSG1.TK2","MSG1.TK2:0019","1491","Hiryu's final moments with peaceful smiles on","安詳的微笑，迎接飛龍號的",""
"MSG1.TK2","MSG1.TK2:0020","1537","their faces.","最後時刻。",""
"MSG1.TK2","MSG1.TK2:0021","1596","The true battle has yet to come. I promise to","真正的戰鬥還在後頭。我發誓","移除開頭雜訊「PU'1」（4 字元，較罕見）"
"MSG1.TK2","MSG1.TK2:0022","1646","return to the Philippines and defeat the","必將重返菲律賓，",""
